CP, 82, 2008073118, 03, OFCL,  12, 195N, 1494W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  35,   0,    ,   0, RTM, 275,   5, 
CP, 82, 2008073118, 03, OFCL,  24, 197N, 1507W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  35,   0,    ,   0, RTM, 280,   6, 
CP, 82, 2008073118, 03, OFCL,  36, 199N, 1520W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  35,   0,    ,   0, RTM, 280,   6, 
CP, 82, 2008073118, 03, OFCL,  48, 201N, 1533W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  35,   0,    ,   0, RTM, 280,   6, 
CP, 82, 2008073118, 03, OFCL,  72, 210N, 1558W,  25,    0, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  35,   0,    ,   0, RTM, 290,   6, 
CP, 82, 2008073118, 03, OFCL,  96, 218N, 1586W,  25,    0,   ,  34, NEQ,    0,    0,    0,    0,
CP, 82, 2008073118, 03, OFCL, 120, 227N, 1613W,  25,    0,   ,  34, NEQ,    0,    0,    0,    0,
CP, 82, 2008073118, 03, SHF5,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHF5,  12,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHF5,  24,   0N,    0W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHF5,  36,   0N,    0W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHF5,  48,   0N,    0W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHF5,  60,   0N,    0W,  17,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHF5,  72,   0N,    0W,  16,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHF5,  84,   0N,    0W,  19,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHF5,  96,   0N,    0W,  16,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHF5, 108,   0N,    0W,  19,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHF5, 120,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHFR,  12,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHFR,  24,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHFR,  36,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHFR,  48,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHFR,  60,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, SHFR,  72,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, XTRP,   0, 194N, 1483W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, XTRP,  12, 195N, 1493W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, XTRP,  24, 196N, 1504W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, XTRP,  36, 197N, 1515W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, XTRP,  48, 198N, 1526W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, XTRP,  60, 199N, 1537W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, XTRP,  72, 201N, 1548W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, XTRP,  84, 202N, 1559W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, XTRP,  96, 203N, 1570W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, XTRP, 108, 204N, 1581W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008073118, 03, XTRP, 120, 205N, 1592W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 01, CARQ, -24, 192N, 1466W,  20,    0, TS,  34, AAA,    0,    0,    0,    0, 
CP, 82, 2008080100, 01, CARQ, -18, 193N, 1472W,  20,    0, TS,  34, AAA,    0,    0,    0,    0, 
CP, 82, 2008080100, 01, CARQ, -12, 194N, 1478W,  20,    0, TS,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 280,   6, 
CP, 82, 2008080100, 01, CARQ,  -6, 195N, 1484W,  25,    0, TS,  34, AAA,    0,    0,    0,    0, 
CP, 82, 2008080100, 01, CARQ,   0, 196N, 1490W,  35, 1010, TS,  34, NEQ,   50,   35,   35,   50, 1012,  150,   0,   0,   0,   C,   0,   X, 280,   6,      DWROE, D, 
CP, 82, 2008080100, 01, CARQ,   0, 196N, 1490W,  35, 1010, TS,  50, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   C,   0,   X, 280,   6,      DWROE, D, 
