SH, 94, 2012122712, 03, NG02, 084, 128S, 1589E,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 090, 130S, 1589E,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 096, 135S, 1586E,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 102, 139S, 1586E,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 108, 143S, 1582E,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 114, 148S, 1582E,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 120, 151S, 1584E,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 126, 152S, 1583E,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 132, 157S, 1584E,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 138, 158S, 1585E,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG02, 144, 161S, 1587E,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 000,  92S, 1614E,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 006,  98S, 1607E,  39, 1002, XX,  34, NEQ, 0148, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 012, 101S, 1600E,  23, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 018, 107S, 1599E,  25, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 024, 111S, 1596E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 030, 117S, 1593E,  24,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 036, 121S, 1592E,  25, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 042, 122S, 1592E,  24,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 048, 123S, 1594E,  26,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 054, 127S, 1595E,  30,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 94, 2012122712, 03, NG03, 060, 131S, 1596E,  29,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
