IO, 03, 2013110900, 03, NG10, 036,  53N,  479E,  11, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG10, 042,  52N,  476E,  10, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG10, 048,  50N,  481E,  10, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG10, 054,  51N,  480E,  10, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG10, 060,  50N,  480E,  11, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG10, 066,  51N,  486E,  11, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG11, 000,  70N,  537E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG11, 006,  69N,  525E,  29, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG11, 012,  66N,  517E,  21, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG11, 018,  65N,  511E,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG11, 024,  68N,  507E,  16, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG11, 030,  69N,  502E,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG11, 036,  69N,  496E,  16, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG11, 042,  69N,  492E,  14, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 000,  78N,  531E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 006,  76N,  517E,  31, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 012,  68N,  504E,  19, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 018,  69N,  493E,  15, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 024,  65N,  486E,   9, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 030,  59N,  480E,  10, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 036,  58N,  470E,   9, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 042,  50N,  455E,   5, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 048,  50N,  452E,   6, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 054,  50N,  451E,   7, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 060,  50N,  452E,   8, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 066,  47N,  451E,   8, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 072,  41N,  449E,   5, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 078,  39N,  447E,   5, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 084,  37N,  432E,   8, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG12, 090,  33N,  428E,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG13, 000,  73N,  535E,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG13, 006,  79N,  520E,  32, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG13, 012,  77N,  510E,  24, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 03, 2013110900, 03, NG13, 018,  75N,  495E,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
