CP, 84, 2012060212, 03, OFCL,  24, 211N, 1496W, 115,    0, HU,  50, NEQ,   90,   80,   80,   90,    0,    0,   0, 140,  15,    ,   0, SHH, 280,   4, 
CP, 84, 2012060212, 03, OFCL,  24, 211N, 1496W, 115,    0, HU,  64, NEQ,   30,   25,   25,   30,    0,    0,   0, 140,  15,    ,   0, SHH, 280,   4, 
CP, 84, 2012060212, 03, OFCL,  36, 211N, 1504W, 115,    0, HU,  34, NEQ,  145,  130,  130,  145,    0,    0,   0, 140,  15,    ,   0, SHH, 270,   4, 
CP, 84, 2012060212, 03, OFCL,  36, 211N, 1504W, 115,    0, HU,  50, NEQ,   90,   80,   80,   90,    0,    0,   0, 140,  15,    ,   0, SHH, 270,   4, 
CP, 84, 2012060212, 03, OFCL,  36, 211N, 1504W, 115,    0, HU,  64, NEQ,   30,   25,   25,   30,    0,    0,   0, 140,  15,    ,   0, SHH, 270,   4, 
CP, 84, 2012060212, 03, OFCL,  48, 211N, 1512W, 120,    0, HU,  34, NEQ,  145,  130,  130,  145,    0,    0,   0, 145,  15,    ,   0, SHH, 270,   4, 
CP, 84, 2012060212, 03, OFCL,  48, 211N, 1512W, 120,    0, HU,  50, NEQ,   90,   80,   80,   90,    0,    0,   0, 145,  15,    ,   0, SHH, 270,   4, 
CP, 84, 2012060212, 03, OFCL,  48, 211N, 1512W, 120,    0, HU,  64, NEQ,   30,   25,   25,   30,    0,    0,   0, 145,  15,    ,   0, SHH, 270,   4, 
CP, 84, 2012060212, 03, OFCL,  72, 212N, 1529W, 125,    0, HU,  34, NEQ,  145,  130,  130,  145,    0,    0,   0, 150,  15,    ,   0, SHH, 275,   4, 
CP, 84, 2012060212, 03, OFCL,  72, 212N, 1529W, 125,    0, HU,  50, NEQ,   90,   80,   80,   90,    0,    0,   0, 150,  15,    ,   0, SHH, 275,   4, 
CP, 84, 2012060212, 03, OFCL,  72, 212N, 1529W, 125,    0, HU,  64, NEQ,   30,   25,   25,   30,    0,    0,   0, 150,  15,    ,   0, SHH, 275,   4, 
CP, 84, 2012060212, 03, OFCL,  96, 212N, 1545W, 130,    0, HU,  34, NEQ,  145,  130,  130,  145,    0,    0,   0, 160,  15,    ,   0, SHH, 270,   4, 
CP, 84, 2012060212, 03, OFCL,  96, 212N, 1545W, 130,    0, HU,  50, NEQ,   90,   80,   80,   90,    0,    0,   0, 160,  15,    ,   0, SHH, 270,   4, 
CP, 84, 2012060212, 03, OFCL,  96, 212N, 1545W, 130,    0, HU,  64, NEQ,   30,   25,   25,   30,    0,    0,   0, 160,  15,    ,   0, SHH, 270,   4, 
CP, 84, 2012060212, 03, OFCL, 120, 213N, 1561W, 135,    0, HU,  34, NEQ,  145,  130,  130,  145,    0,    0,   0, 165,  15,    ,   0, SHH, 275,   4, 
CP, 84, 2012060212, 03, OFCL, 120, 213N, 1561W, 135,    0, HU,  50, NEQ,   90,   80,   80,   90,    0,    0,   0, 165,  15,    ,   0, SHH, 275,   4, 
CP, 84, 2012060212, 03, OFCL, 120, 213N, 1561W, 135,    0, HU,  64, NEQ,   30,   25,   25,   30,    0,    0,   0, 165,  15,    ,   0, SHH, 275,   4, 
CP, 84, 2012060500, 01, CARQ, -24, 211N, 1492W, 105,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,      CHUCK,  , 
CP, 84, 2012060500, 01, CARQ, -18, 211N, 1494W, 105,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,      CHUCK,  , 
CP, 84, 2012060500, 01, CARQ, -12, 211N, 1496W, 105,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 270,   2,      CHUCK,  , 
CP, 84, 2012060500, 01, CARQ,  -6, 211N, 1498W, 105,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,      CHUCK,  , 
CP, 84, 2012060500, 01, CARQ,   0, 211N, 1501W, 105,  958, HU,  34, NEQ,  145,  130,  130,  145, 1012,  155,  20,   0,   0,   C,   0,   X, 270,   2,      CHUCK, D , 
CP, 84, 2012060500, 01, CARQ,   0, 211N, 1501W, 105,  958, HU,  50, NEQ,   90,   80,   80,   90, 1012,  155,  20,   0,   0,   C,   0,   X, 270,   2,      CHUCK, D , 
CP, 84, 2012060500, 01, CARQ,   0, 211N, 1501W, 105,  958, HU,  64, NEQ,   30,   25,   25,   30, 1012,  155,  20,   0,   0,   C,   0,   X, 270,   2,      CHUCK, D , 
CP, 84, 2012060500, 03, BAMD,  12, 220N, 1524W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMD,  24, 226N, 1547W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMD,  36, 232N, 1572W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMD,  48, 239N, 1596W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMD,  60, 247N, 1616W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMD,  72, 258N, 1628W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMD,  84, 278N, 1620W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMD,  96, 313N, 1588W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMD, 108, 355N, 1550W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMD, 120, 399N, 1508W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMD, 132, 437N, 1435W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMD, 144, 449N, 1337W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
