WP, 08, 2021070618, 01, CARQ, -24, 156N, 1125E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070618, 01, CARQ, -18, 156N, 1122E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070618, 01, CARQ, -12, 160N, 1120E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X, 340,   7,     INVEST,  , 
WP, 08, 2021070618, 01, CARQ,  -6, 169N, 1117E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070618, 01, CARQ,   0, 180N, 1116E,  20, 1001, DB,  34, NEQ,    0,    0,    0,    0, 1003,  115,  45,   0,   0,   W,   0,   X, 345,   8,     INVEST, S, 
WP, 08, 2021070618, 01, CARQ,   0, 180N, 1116E,  20, 1001, DB,  50, NEQ,    0,    0,    0,    0, 1003,  115,  45,   0,   0,   W,   0,   X, 345,   8,     INVEST, S, 
WP, 08, 2021070618, 01, CARQ,   0, 180N, 1116E,  20, 1001, DB,  64, NEQ,    0,    0,    0,    0, 1003,  115,  45,   0,   0,   W,   0,   X, 345,   8,     INVEST, S, 
WP, 08, 2021070700, 01, CARQ, -24, 156N, 1122E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070700, 01, CARQ, -18, 160N, 1120E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070700, 01, CARQ, -12, 169N, 1117E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X, 347,  10,     INVEST,  , 
WP, 08, 2021070700, 01, CARQ,  -6, 180N, 1115E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070700, 01, CARQ,   0, 180N, 1103E,  20, 1002, DB,  34, NEQ,    0,    0,    0,    0, 1004,  105,  45,   0,   0,   W,   0,   X, 320,   9,     INVEST, S, 
WP, 08, 2021070700, 01, CARQ,   0, 180N, 1103E,  20, 1002, DB,  50, NEQ,    0,    0,    0,    0, 1004,  105,  45,   0,   0,   W,   0,   X, 320,   9,     INVEST, S, 
WP, 08, 2021070700, 01, CARQ,   0, 180N, 1103E,  20, 1002, DB,  64, NEQ,    0,    0,    0,    0, 1004,  105,  45,   0,   0,   W,   0,   X, 320,   9,     INVEST, S, 
WP, 08, 2021070706, 01, CARQ, -24, 160N, 1120E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070706, 01, CARQ, -18, 169N, 1117E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070706, 01, CARQ, -12, 180N, 1115E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X, 310,   9,     INVEST,  , 
WP, 08, 2021070706, 01, CARQ,  -6, 180N, 1103E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,     INVEST,  , 
WP, 08, 2021070706, 01, CARQ,   0, 185N, 1094E,  20, 1002, DB,  34, NEQ,    0,    0,    0,    0, 1004,  115,  50,   0,   0,   W,   0,   X, 305,   9,     INVEST, S, 
WP, 08, 2021070706, 01, CARQ,   0, 185N, 1094E,  20, 1002, DB,  50, NEQ,    0,    0,    0,    0, 1004,  115,  50,   0,   0,   W,   0,   X, 305,   9,     INVEST, S, 
WP, 08, 2021070706, 01, CARQ,   0, 185N, 1094E,  20, 1002, DB,  64, NEQ,    0,    0,    0,    0, 1004,  115,  50,   0,   0,   W,   0,   X, 305,   9,     INVEST, S, 
WP, 08, 2021070712, 01, CARQ, -24, 169N, 1117E,  20,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,      EIGHT,  , 
WP, 08, 2021070712, 01, CARQ, -18, 180N, 1115E,  20,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,      EIGHT,  , 
WP, 08, 2021070712, 01, CARQ, -12, 180N, 1103E,  20,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X, 284,  10,      EIGHT,  , 
WP, 08, 2021070712, 01, CARQ,  -6, 185N, 1094E,  20,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,      EIGHT,  , 
WP, 08, 2021070712, 01, CARQ,   0, 192N, 1080E,  25, 1001, TD,  34, NEQ,    0,    0,    0,    0, 1004,  145,  50,   0,   0,   W,   0,   X, 290,  12,      EIGHT, S, 
WP, 08, 2021070712, 01, CARQ,   0, 192N, 1080E,  25, 1001, TD,  50, NEQ,    0,    0,    0,    0, 1004,  145,  50,   0,   0,   W,   0,   X, 290,  12,      EIGHT, S, 
WP, 08, 2021070712, 01, CARQ,   0, 192N, 1080E,  25, 1001, TD,  64, NEQ,    0,    0,    0,    0, 1004,  145,  50,   0,   0,   W,   0,   X, 290,  12,      EIGHT, S, 
WP, 08, 2021070712, 01, CARQ,   0, 192N, 1080E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  145,  50,   0,   0,   W,   0,   X, 290,  12,      EIGHT, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP082021, JTWC, NCEP_TCVITALS, 
WP, 08, 2021070712, 01, CARQ,   0, 192N, 1080E,  25, 1001, XX,  50, NEQ,    0,    0,    0,    0, 1004,  145,  50,   0,   0,   W,   0,   X, 290,  12,      EIGHT, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP082021, JTWC, NCEP_TCVITALS, 
WP, 08, 2021070712, 01, CARQ,   0, 192N, 1080E,  25, 1001, XX,  64, NEQ,    0,    0,    0,    0, 1004,  145,  50,   0,   0,   W,   0,   X, 290,  12,      EIGHT, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP082021, JTWC, NCEP_TCVITALS, 
WP, 08, 2021070712, 03, AC00, 000, 186N, 1072E,  28, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AC00, 006, 188N, 1060E,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AC00, 012, 194N, 1045E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AEMN, 000, 186N, 1073E,  30, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AEMN, 006, 188N, 1061E,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AEMN, 012, 193N, 1046E,  22, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AEMN, 018, 196N, 1028E,   9, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP01, 000, 184N, 1070E,  32, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP01, 006, 188N, 1061E,  33, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP01, 012, 193N, 1047E,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP01, 018, 194N, 1022E,   9, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP01, 024, 193N, 1005E,   5, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 08, 2021070712, 03, AP02, 000, 186N, 1075E,  31,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
