EP, 17, 2014091612, 03, COTC, 054, 180N, 1066W,  50,  993, XX,  34, NEQ, 0094, 0075, 0080, 0089,    0,    0, 027
EP, 17, 2014091612, 03, COTC, 054, 180N, 1066W,  50,  993, XX,  50, NEQ, 0000, 0000, 0000, 0027,    0,    0, 027
EP, 17, 2014091612, 03, COTC, 060, 185N, 1074W,  57,  990, XX,  34, NEQ, 0080, 0064, 0070, 0052,    0,    0, 037
EP, 17, 2014091612, 03, COTC, 060, 185N, 1074W,  57,  990, XX,  50, NEQ, 0035, 0043, 0042, 0027,    0,    0, 037
EP, 17, 2014091612, 03, COTC, 066, 190N, 1081W,  50,  994, XX,  34, NEQ, 0097, 0074, 0080, 0077,    0,    0, 026
EP, 17, 2014091612, 03, COTC, 066, 190N, 1081W,  50,  994, XX,  50, NEQ, 0000, 0026, 0000, 0000,    0,    0, 026
EP, 17, 2014091612, 03, COTC, 072, 193N, 1091W,  54,  993, XX,  34, NEQ, 0137, 0073, 0078, 0128,    0,    0, 026
EP, 17, 2014091612, 03, COTC, 072, 193N, 1091W,  54,  993, XX,  50, NEQ, 0032, 0028, 0034, 0000,    0,    0, 026
EP, 17, 2014091612, 03, COTC, 078, 195N, 1097W,  56,  993, XX,  34, NEQ, 0072, 0071, 0073, 0071,    0,    0, 022
EP, 17, 2014091612, 03, COTC, 078, 195N, 1097W,  56,  993, XX,  50, NEQ, 0035, 0031, 0000, 0000,    0,    0, 022
EP, 17, 2014091612, 03, COTC, 084, 198N, 1104W,  58,  992, XX,  34, NEQ, 0064, 0076, 0087, 0063,    0,    0, 027
EP, 17, 2014091612, 03, COTC, 084, 198N, 1104W,  58,  992, XX,  50, NEQ, 0028, 0040, 0000, 0000,    0,    0, 027
EP, 17, 2014091612, 03, COTC, 090, 197N, 1109W,  58,  994, XX,  34, NEQ, 0053, 0058, 0077, 0078,    0,    0, 027
EP, 17, 2014091612, 03, COTC, 090, 197N, 1109W,  58,  994, XX,  50, NEQ, 0037, 0029, 0038, 0000,    0,    0, 027
EP, 17, 2014091612, 03, COTC, 096, 197N, 1112W,  48,  996, XX,  34, NEQ, 0063, 0059, 0098, 0094,    0,    0, 031
EP, 17, 2014091612, 03, COTC, 102, 198N, 1118W,  43,  998, XX,  34, NEQ, 0049, 0059, 0051, 0080,    0,    0, 031
EP, 17, 2014091612, 03, COTC, 108, 202N, 1123W,  36,  997, XX,  34, NEQ, 0000, 0069, 0032, 0039,    0,    0, 029
EP, 17, 2014091612, 03, COTC, 114, 202N, 1127W,  41,  999, XX,  34, NEQ, 0049, 0033, 0037, 0046,    0,    0, 024
EP, 17, 2014091612, 03, COTC, 120, 201N, 1134W,  37,  999, XX,  34, NEQ, 0000, 0035, 0042, 0000,    0,    0, 030
EP, 17, 2014091612, 03, GFDN,   0, 125N,  992W,  29, 1005
EP, 17, 2014091612, 03, GFDN,   6, 127N,  999W,  40, 1003
EP, 17, 2014091612, 03, GFDN,  12, 127N, 1009W,  49, 1001
EP, 17, 2014091612, 03, GFDN,  18, 132N, 1013W,  38, 1002
EP, 17, 2014091612, 03, GFDN,  24, 137N, 1019W,  52,  997
EP, 17, 2014091612, 03, GFDN,  30, 144N, 1023W,  55,  992
EP, 17, 2014091612, 03, GFDN,  36, 153N, 1029W,  56,  991
EP, 17, 2014091612, 03, GFDN,  42, 159N, 1036W,  57,  990
EP, 17, 2014091612, 03, GFDN,  48, 164N, 1041W,  64,  987
EP, 17, 2014091612, 03, GFDN,  54, 166N, 1045W,  61,  987
EP, 17, 2014091612, 03, GFDN,  60, 169N, 1048W,  67,  984
EP, 17, 2014091612, 03, GFDN,  66, 174N, 1050W,  70,  983
EP, 17, 2014091612, 03, GFDN,  72, 177N, 1053W,  80,  979
EP, 17, 2014091612, 03, GFDN,  78, 179N, 1055W,  60,  987
EP, 17, 2014091612, 03, GFDN,  84, 180N, 1057W,  53,  988
EP, 17, 2014091612, 03, GFDN,  90, 178N, 1059W,  55,  990
EP, 17, 2014091612, 03, GFDN,  96, 176N, 1058W,  56,  987
EP, 17, 2014091612, 03, GFDN, 102, 176N, 1058W,  47,  988
EP, 17, 2014091612, 03, GFDN, 108, 175N, 1058W,  58,  986
EP, 17, 2014091612, 03, GFDN, 114, 178N, 1060W,  47,  988
EP, 17, 2014091612, 03, GFDN, 120, 178N, 1063W,  53,  989
EP, 17, 2014091612, 03, GFDN, 126, 176N, 1064W,  59,  986
EP, 17, 2014091612, 03, NG01, 000, 119N, 1010W,  37, 1006, XX,  34, NEQ, 0189, 0129, 0000, 0000
EP, 17, 2014091612, 03, NG01, 006, 128N, 1021W,  37, 1006, XX,  34, NEQ, 0213, 0246, 0000, 0000
EP, 17, 2014091612, 03, NG01, 012, 138N, 1033W,  39, 1004, XX,  34, NEQ, 0350, 0196, 0000, 0000
EP, 17, 2014091612, 03, NG01, 018, 148N, 1046W,  32, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG01, 024, 158N, 1060W,  32, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG01, 030, 165N, 1074W,  31, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG01, 036, 172N, 1085W,  33, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG01, 042, 179N, 1095W,  37, 1002, XX,  34, NEQ, 0131, 0158, 0000, 0000
EP, 17, 2014091612, 03, NG01, 048, 187N, 1103W,  39, 1000, XX,  34, NEQ, 0179, 0172, 0000, 0000
EP, 17, 2014091612, 03, NG01, 054, 194N, 1111W,  40, 1000, XX,  34, NEQ, 0212, 0224, 0160, 0000
EP, 17, 2014091612, 03, NG01, 060, 202N, 1119W,  36,  998, XX,  34, NEQ, 0198, 0300, 0130, 0000
EP, 17, 2014091612, 03, NG01, 066, 209N, 1123W,  38,  999, XX,  34, NEQ, 0196, 0204, 0194, 0000
