IO, 01, 2021051200, 01, CARQ,   0, 106N,  629E,  25, 1004, TD,  34, NEQ,    0,    0,    0,    0, 1006,  140,  35,   0,   0,   A,   0,   X,  65,  11,     INVEST, S, 
IO, 01, 2021051200, 01, CARQ,   0, 106N,  629E,  25, 1004, TD,  50, NEQ,    0,    0,    0,    0, 1006,  140,  35,   0,   0,   A,   0,   X,  65,  11,     INVEST, S, 
IO, 01, 2021051200, 01, CARQ,   0, 106N,  629E,  25, 1004, TD,  64, NEQ,    0,    0,    0,    0, 1006,  140,  35,   0,   0,   A,   0,   X,  65,  11,     INVEST, S, 
IO, 01, 2021051206, 01, CARQ, -24,  91N,  599E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051206, 01, CARQ, -18,  95N,  608E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051206, 01, CARQ, -12, 101N,  618E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,  62,  12,     INVEST,  , 
IO, 01, 2021051206, 01, CARQ,  -6, 106N,  629E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051206, 01, CARQ,   0, 108N,  636E,  25, 1004, TD,  34, NEQ,    0,    0,    0,    0, 1006,  140,  35,   0,   0,   A,   0,   X,  65,  10,     INVEST, S, 
IO, 01, 2021051206, 01, CARQ,   0, 108N,  636E,  25, 1004, TD,  50, NEQ,    0,    0,    0,    0, 1006,  140,  35,   0,   0,   A,   0,   X,  65,  10,     INVEST, S, 
IO, 01, 2021051206, 01, CARQ,   0, 108N,  636E,  25, 1004, TD,  64, NEQ,    0,    0,    0,    0, 1006,  140,  35,   0,   0,   A,   0,   X,  65,  10,     INVEST, S, 
IO, 01, 2021051212, 01, CARQ, -24,  95N,  608E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051212, 01, CARQ, -18, 101N,  618E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051212, 01, CARQ, -12, 106N,  629E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,  68,  10,     INVEST,  , 
IO, 01, 2021051212, 01, CARQ,  -6, 108N,  636E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051212, 01, CARQ,   0, 109N,  643E,  25, 1004, TD,  34, NEQ,    0,    0,    0,    0, 1006,  140,  35,   0,   0,   A,   0,   X,  70,   9,     INVEST, S, 
IO, 01, 2021051212, 01, CARQ,   0, 109N,  643E,  25, 1004, TD,  50, NEQ,    0,    0,    0,    0, 1006,  140,  35,   0,   0,   A,   0,   X,  70,   9,     INVEST, S, 
IO, 01, 2021051212, 01, CARQ,   0, 109N,  643E,  25, 1004, TD,  64, NEQ,    0,    0,    0,    0, 1006,  140,  35,   0,   0,   A,   0,   X,  70,   9,     INVEST, S, 
IO, 01, 2021051218, 01, CARQ, -24, 108N,  593E,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051218, 01, CARQ, -18, 112N,  622E,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051218, 01, CARQ, -12, 114N,  639E,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,  84,  15,     INVEST,  , 
IO, 01, 2021051218, 01, CARQ,  -6, 115N,  653E,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051218, 01, CARQ,   0, 118N,  668E,  20, 1005, DB,  34, NEQ,    0,    0,    0,    0, 1007,  125,  85,   0,   0,   A,   0,   X,  80,  15,     INVEST, S, 
IO, 01, 2021051218, 01, CARQ,   0, 118N,  668E,  20, 1005, DB,  50, NEQ,    0,    0,    0,    0, 1007,  125,  85,   0,   0,   A,   0,   X,  80,  15,     INVEST, S, 
IO, 01, 2021051218, 01, CARQ,   0, 118N,  668E,  20, 1005, DB,  64, NEQ,    0,    0,    0,    0, 1007,  125,  85,   0,   0,   A,   0,   X,  80,  15,     INVEST, S, 
IO, 01, 2021051300, 01, CARQ, -24, 100N,  624E,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051300, 01, CARQ, -18, 100N,  649E,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051300, 01, CARQ, -12, 101N,  666E,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,  88,  20,     INVEST,  , 
IO, 01, 2021051300, 01, CARQ,  -6, 101N,  689E,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051300, 01, CARQ,   0, 101N,  707E,  20, 1004, DB,  34, NEQ,    0,    0,    0,    0, 1006,  200,  85,   0,   0,   A,   0,   X,  90,  21,     INVEST, S, 
IO, 01, 2021051300, 01, CARQ,   0, 101N,  707E,  20, 1004, DB,  50, NEQ,    0,    0,    0,    0, 1006,  200,  85,   0,   0,   A,   0,   X,  90,  21,     INVEST, S, 
IO, 01, 2021051300, 01, CARQ,   0, 101N,  707E,  20, 1004, DB,  64, NEQ,    0,    0,    0,    0, 1006,  200,  85,   0,   0,   A,   0,   X,  90,  21,     INVEST, S, 
IO, 01, 2021051306, 01, CARQ, -24,  90N,  649E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051306, 01, CARQ, -18,  94N,  672E,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051306, 01, CARQ, -12,  94N,  687E,  20,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,  88,  14,     INVEST,  , 
IO, 01, 2021051306, 01, CARQ,  -6,  95N,  700E,  20,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051306, 01, CARQ,   0,  98N,  710E,  25, 1002, TD,  34, NEQ,    0,    0,    0,    0, 1006,  200,  70,   0,   0,   A,   0,   X,  85,  13,     INVEST, S, 
IO, 01, 2021051306, 01, CARQ,   0,  98N,  710E,  25, 1002, TD,  50, NEQ,    0,    0,    0,    0, 1006,  200,  70,   0,   0,   A,   0,   X,  85,  13,     INVEST, S, 
IO, 01, 2021051306, 01, CARQ,   0,  98N,  710E,  25, 1002, TD,  64, NEQ,    0,    0,    0,    0, 1006,  200,  70,   0,   0,   A,   0,   X,  85,  13,     INVEST, S, 
