AL, 89, 2005110912, 03, SHIP,   0, 230N,  750W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHIP,  12, 222N,  760W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHIP,  24, 213N,  777W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHIP,  36, 207N,  793W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHIP,  48, 201N,  806W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHIP,  60, 195N,  819W,  16,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHIP,  72, 190N,  836W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHIP,  84, 190N,  856W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHIP,  96, 193N,  876W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHIP, 108, 196N,  896W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHIP, 120, 199N,  913W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHNS,   0, 230N,  750W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHNS,  12, 222N,  760W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHNS,  24, 213N,  777W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHNS,  36, 207N,  793W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHNS,  48, 201N,  806W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHNS,  60, 195N,  819W,  18,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHNS,  72, 190N,  836W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHNS,  84, 190N,  856W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHNS,  96, 193N,  876W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHNS, 108, 196N,  896W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, SHNS, 120, 199N,  913W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, XTRP,  12, 239N,  769W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, XTRP,  24, 248N,  788W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, XTRP,  36, 257N,  808W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, XTRP,  48, 266N,  827W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, XTRP,  60, 275N,  847W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, XTRP,  72, 284N,  867W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, XTRP,  84, 293N,  887W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, XTRP,  96, 302N,  907W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, XTRP, 108, 311N,  928W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110912, 03, XTRP, 120, 320N,  948W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 01, CARQ, -24, 228N,  936W,  25,    0, TD,  34, AAA,    0,    0,    0,    0, 
AL, 89, 2005110918, 01, CARQ, -18, 231N,  927W,  25,    0, TD,  34, AAA,    0,    0,    0,    0, 
AL, 89, 2005110918, 01, CARQ, -12, 234N,  918W,  25,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,  67,   9, 
AL, 89, 2005110918, 01, CARQ,  -6, 238N,  909W,  25,    0, TD,  34, AAA,    0,    0,    0,    0, 
AL, 89, 2005110918, 01, CARQ,   0, 240N,  900W,  30, 1009, TD,  34, NEQ,    0,    0,    0,    0, 1012,   95,  35,   0,   0,   L,   0,   X,  70,   9,      CHRIS, D, 
AL, 89, 2005110918, 01, CARQ,   0, 240N,  900W,  30, 1009, TD,  50, NEQ,    0,    0,    0,    0, 1012,   95,  35,   0,   0,   L,   0,   X,  70,   9,      CHRIS, D, 
AL, 89, 2005110918, 01, CARQ,   0, 240N,  900W,  30, 1009, TD,  64, NEQ,    0,    0,    0,    0, 1012,   95,  35,   0,   0,   L,   0,   X,  70,   9,      CHRIS, D, 
AL, 89, 2005110918, 03, A90E,   0, 240N,  900W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A90E,  12, 243N,  886W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A90E,  24, 240N,  879W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A90E,  36, 228N,  872W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A90E,  48, 222N,  865W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 89, 2005110918, 03, A90E,  60, 215N,  873W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
