WP, 10, 2012072906, 03, AVNO, 036, 204N, 1249E,  56,  980, XX,  50, NEQ, 0000, 0090, 0115, 0000
WP, 10, 2012072906, 03, AVNO, 042, 210N, 1250E,  56,  979, XX,  34, NEQ, 0142, 0350, 0333, 0169
WP, 10, 2012072906, 03, AVNO, 042, 210N, 1250E,  56,  979, XX,  50, NEQ, 0089, 0110, 0095, 0000
WP, 10, 2012072906, 03, AVNO, 048, 213N, 1247E,  60,  976, XX,  34, NEQ, 0256, 0325, 0208, 0348
WP, 10, 2012072906, 03, AVNO, 048, 213N, 1247E,  60,  976, XX,  50, NEQ, 0000, 0120, 0129, 0000
WP, 10, 2012072906, 03, AVNO, 054, 215N, 1249E,  59,  976, XX,  34, NEQ, 0163, 0165, 0228, 0349
WP, 10, 2012072906, 03, AVNO, 054, 215N, 1249E,  59,  976, XX,  50, NEQ, 0000, 0092, 0123, 0000
WP, 10, 2012072906, 03, AVNO, 060, 220N, 1248E,  60,  974, XX,  34, NEQ, 0164, 0344, 0330, 0331
WP, 10, 2012072906, 03, AVNO, 060, 220N, 1248E,  60,  974, XX,  50, NEQ, 0115, 0121, 0127, 0064
WP, 10, 2012072906, 03, AVNO, 066, 224N, 1245E,  64,  972, XX,  34, NEQ, 0173, 0344, 0310, 0306
WP, 10, 2012072906, 03, AVNO, 066, 224N, 1245E,  64,  972, XX,  50, NEQ, 0120, 0140, 0088, 0110
WP, 10, 2012072906, 03, AVNO, 066, 224N, 1245E,  64,  972, XX,  64, NEQ, 0000, 0000, 0061, 0000
WP, 10, 2012072906, 03, AVNO, 072, 228N, 1250E,  70,  969, XX,  34, NEQ, 0154, 0650, 0347, 0312
WP, 10, 2012072906, 03, AVNO, 072, 228N, 1250E,  70,  969, XX,  50, NEQ, 0088, 0140, 0149, 0132
WP, 10, 2012072906, 03, AVNO, 072, 228N, 1250E,  70,  969, XX,  64, NEQ, 0063, 0101, 0106, 0000
WP, 10, 2012072906, 03, AVNO, 078, 239N, 1250E,  66,  971, XX,  34, NEQ, 0166, 0234, 0640, 0277
WP, 10, 2012072906, 03, AVNO, 078, 239N, 1250E,  66,  971, XX,  50, NEQ, 0108, 0136, 0082, 0105
WP, 10, 2012072906, 03, AVNO, 078, 239N, 1250E,  66,  971, XX,  64, NEQ, 0066, 0000, 0000, 0000
WP, 10, 2012072906, 03, AVNO, 084, 245N, 1250E,  62,  970, XX,  34, NEQ, 0201, 0248, 0344, 0149
WP, 10, 2012072906, 03, AVNO, 084, 245N, 1250E,  62,  970, XX,  50, NEQ, 0088, 0123, 0098, 0101
WP, 10, 2012072906, 03, AVNO, 090, 255N, 1250E,  66,  972, XX,  34, NEQ, 0203, 0298, 0341, 0174
WP, 10, 2012072906, 03, AVNO, 090, 255N, 1250E,  66,  972, XX,  50, NEQ, 0091, 0121, 0097, 0083
