EP, 10, 2014080412, 03, COTC, 084, 165N, 1410W,  59,  998, XX,  50, NEQ, 0050, 0000, 0000, 0037,    0,    0, 037
EP, 10, 2014080412, 03, COTC, 090, 165N, 1427W,  52,  997, XX,  34, NEQ, 0095, 0061, 0029, 0090,    0,    0, 031
EP, 10, 2014080412, 03, COTC, 090, 165N, 1427W,  52,  997, XX,  50, NEQ, 0034, 0000, 0000, 0034,    0,    0, 031
EP, 10, 2014080412, 03, COTC, 096, 169N, 1445W,  62,  996, XX,  34, NEQ, 0079, 0051, 0030, 0077,    0,    0, 023
EP, 10, 2014080412, 03, COTC, 096, 169N, 1445W,  62,  996, XX,  50, NEQ, 0036, 0000, 0000, 0029,    0,    0, 023
EP, 10, 2014080412, 03, COTC, 102, 167N, 1464W,  60,  996, XX,  34, NEQ, 0090, 0071, 0018, 0067,    0,    0, 028
EP, 10, 2014080412, 03, COTC, 102, 167N, 1464W,  60,  996, XX,  50, NEQ, 0045, 0000, 0000, 0034,    0,    0, 028
EP, 10, 2014080412, 03, COTC, 108, 168N, 1483W,  61,  993, XX,  34, NEQ, 0093, 0040, 0020, 0086,    0,    0, 028
EP, 10, 2014080412, 03, COTC, 108, 168N, 1483W,  61,  993, XX,  50, NEQ, 0037, 0022, 0000, 0029,    0,    0, 028
EP, 10, 2014080412, 03, COTC, 114, 168N, 1501W,  64,  991, XX,  34, NEQ, 0073, 0063, 0021, 0065,    0,    0, 024
EP, 10, 2014080412, 03, COTC, 114, 168N, 1501W,  64,  991, XX,  50, NEQ, 0043, 0000, 0000, 0032,    0,    0, 024
EP, 10, 2014080412, 03, COTC, 114, 168N, 1501W,  64,  991, XX,  64, NEQ, 0024, 0000, 0000, 0000,    0,    0, 024
EP, 10, 2014080412, 03, COTC, 120, 168N, 1520W,  65,  991, XX,  34, NEQ, 0110, 0090, 0019, 0340,    0,    0, 022
EP, 10, 2014080412, 03, COTC, 120, 168N, 1520W,  65,  991, XX,  50, NEQ, 0038, 0000, 0000, 0034,    0,    0, 022
EP, 10, 2014080412, 03, COTC, 120, 168N, 1520W,  65,  991, XX,  64, NEQ, 0000, 0000, 0000, 0022,    0,    0, 022
EP, 10, 2014080412, 03, GFDN,  90, 164N, 1396W,  62,  987
EP, 10, 2014080412, 03, GFDN,  96, 165N, 1410W,  67,  987
EP, 10, 2014080412, 03, GFDN, 102, 167N, 1426W,  66,  987
EP, 10, 2014080412, 03, GFDN, 108, 169N, 1442W,  65,  988
EP, 10, 2014080412, 03, GFDN, 114, 171N, 1458W,  63,  988
EP, 10, 2014080412, 03, GFDN, 120, 171N, 1474W,  60,  988
EP, 10, 2014080412, 03, GFDN, 126, 175N, 1490W,  64,  986
EP, 10, 2014080412, 03, NG01, 090, 150N, 1462W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG01, 096, 151N, 1474W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG01, 102, 150N, 1487W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG01, 108, 151N, 1500W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG01, 114, 151N, 1515W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG01, 120, 160N, 1531W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG01, 126, 172N, 1547W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG01, 132, 178N, 1559W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 090, 173N, 1437W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 096, 179N, 1452W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 102, 181N, 1469W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 108, 181N, 1482W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 114, 185N, 1498W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 120, 189N, 1511W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG02, 126, 191N, 1525W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
