EP, 18, 2019101700, 03, AP03, 102, 121N, 1330W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03, 108, 122N, 1336W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,   0, 109N, 1252W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,   6, 105N, 1254W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  12, 104N, 1255W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  18, 104N, 1256W,  29, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  24, 103N, 1257W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  30, 103N, 1257W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  36, 105N, 1256W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  42, 108N, 1253W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  48, 112N, 1250W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  54, 114N, 1247W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  60, 116N, 1242W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  66, 119N, 1236W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  72, 119N, 1231W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  78, 118N, 1223W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  84, 117N, 1219W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  90, 116N, 1214W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04,  96, 114N, 1210W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 102, 118N, 1205W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 108, 114N, 1200W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 114, 117N, 1196W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 120, 121N, 1189W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 126, 123N, 1182W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 132, 125N, 1177W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 138, 123N, 1174W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 144, 126N, 1173W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 150, 122N, 1169W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 156, 120N, 1169W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 162, 119N, 1167W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 168, 114N, 1173W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 174, 112N, 1177W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 180, 109N, 1177W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 186, 105N, 1180W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP04, 192, 102N, 1178W,  12, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP05,   0, 109N, 1251W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP05,   6, 108N, 1254W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP05,  12, 108N, 1258W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP05,  18, 106N, 1265W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP05,  24, 103N, 1274W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
