SH, 91, 2013011818, 03, NGPS, 144, 169S, 1699W,  64,  981, XX,  50, NEQ, 0107, 0101, 0112, 0071
SH, 91, 2013011818, 03, NGPS, 144, 169S, 1699W,  64,  981, XX,  64, NEQ, 0000, 0000, 0050, 0000
SH, 91, 2013011900, 03, GFDN,   0, 131S, 1759E,  33,  999
SH, 91, 2013011900, 03, GFDN,   6, 130S, 1770E,  34,  996
SH, 91, 2013011900, 03, GFDN,  12, 128S, 1783E,  31, 1000
SH, 91, 2013011900, 03, GFDN,  18, 124S, 1794E,  28, 1000
SH, 91, 2013011900, 03, GFDN,  24, 120S, 1787W,  30, 1001
SH, 91, 2013011900, 03, GFDN,  30, 117S, 1768W,  34,  999
SH, 91, 2013011900, 03, GFDN,  36, 112S, 1752W,  37,  998
SH, 91, 2013011900, 03, GFDN,  42, 106S, 1737W,  37,  997
SH, 91, 2013011900, 03, GFDN,  48, 101S, 1727W,  35,  997
SH, 91, 2013011900, 03, GFDN,  54,  99S, 1715W,  44,  996
SH, 91, 2013011900, 03, GFDN,  60, 102S, 1702W,  45,  996
SH, 91, 2013011900, 03, GFDN,  66, 110S, 1690W,  47,  993
SH, 91, 2013011900, 03, GFDN,  72, 123S, 1687W,  46,  991
SH, 91, 2013011900, 03, GFDN,  78, 132S, 1683W,  48,  990
SH, 91, 2013011900, 03, GFDN,  84, 139S, 1680W,  55,  985
SH, 91, 2013011900, 03, GFDN,  90, 143S, 1679W,  58,  982
SH, 91, 2013011900, 03, GFDN,  96, 146S, 1679W,  60,  979
SH, 91, 2013011900, 03, GFDN, 102, 146S, 1677W,  72,  975
SH, 91, 2013011900, 03, GFDN, 108, 145S, 1674W,  61,  972
SH, 91, 2013011900, 03, GFDN, 114, 147S, 1670W,  63,  972
SH, 91, 2013011900, 03, GFDN, 120, 148S, 1666W,  67,  970
SH, 91, 2013011900, 03, GFDN, 126, 148S, 1660W,  69,  969
SH, 91, 2013011900, 03, NG01, 000, 130S, 1780E,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG01, 006, 133S, 1790E,  36, 1001, XX,  34, NEQ, 0160, 0000, 0000, 0270
