SH, 10, 2016021012, 03, NG05, 060, 303S,  552E,  27,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 144
SH, 10, 2016021012, 03, NG05, 066, 318S,  567E,  27,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 128
SH, 10, 2016021012, 03, NG05, 072, 336S,  579E,  26,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 159
SH, 10, 2016021012, 03, NG05, 078, 354S,  602E,  29,  996, XX,  34, NEQ, 0000, 0000, 0188, 0000,    0,    0, 145
SH, 10, 2016021012, 03, NG06, 000, 245S,  520E,  46,  997, XX,  34, NEQ, 0101, 0000, 0000, 0170,    0,    0, 106
SH, 10, 2016021012, 03, NG06, 006, 257S,  527E,  47,  997, XX,  34, NEQ, 0159, 0078, 0000, 0000,    0,    0, 125
SH, 10, 2016021012, 03, NG06, 012, 268S,  532E,  45,  997, XX,  34, NEQ, 0240, 0254, 0000, 0000,    0,    0, 095
SH, 10, 2016021012, 03, NG06, 018, 277S,  542E,  41,  998, XX,  34, NEQ, 0199, 0090, 0000, 0000,    0,    0, 099
SH, 10, 2016021012, 03, NG06, 024, 287S,  549E,  43,  997, XX,  34, NEQ, 0000, 0176, 0000, 0000,    0,    0, 112
SH, 10, 2016021012, 03, NG06, 030, 298S,  553E,  40,  997, XX,  34, NEQ, 0241, 0192, 0000, 0000,    0,    0, 140
SH, 10, 2016021012, 03, NG06, 036, 312S,  558E,  33,  996, XX,  34, NEQ, 0222, 0000, 0000, 0000,    0,    0, 076
SH, 10, 2016021012, 03, NG06, 042, 331S,  567E,  32,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 132
SH, 10, 2016021012, 03, NG06, 048, 354S,  580E,  36,  992, XX,  34, NEQ, 0249, 0000, 0000, 0000,    0,    0, 149
SH, 10, 2016021012, 03, NG06, 054, 376S,  598E,  39,  990, XX,  34, NEQ, 0267, 0181, 0000, 0000,    0,    0, 156
