AL, 92, 2014091100, 03, NG05, 048, 243N,  814W,  25, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 054, 245N,  825W,  26, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 060, 249N,  836W,  26, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 066, 250N,  846W,  30, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 072, 252N,  857W,  29, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 078, 254N,  866W,  32, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 084, 261N,  874W,  32, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 090, 267N,  879W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 096, 270N,  882W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 102, 274N,  886W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 108, 281N,  885W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 114, 286N,  882W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 120, 290N,  877W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 126, 294N,  870W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 132, 299N,  861W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 138, 303N,  850W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 144, 310N,  837W,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 150, 317N,  824W,   0,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 156, 324N,  814W,   0,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 162, 330N,  804W,   0,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 168, 336N,  792W,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 174, 341N,  779W,   0,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG05, 180, 352N,  762W,   0,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG06, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG07, 000, 268N,  773W,  17, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG07, 006, 269N,  779W,  17, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG07, 012, 271N,  783W,  14, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG07, 018, 271N,  789W,  17, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG07, 024, 270N,  795W,  17, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG07, 030, 269N,  801W,  18, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG07, 036, 268N,  809W,  16, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG07, 042, 264N,  814W,  17, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG07, 048, 258N,  822W,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG07, 054, 258N,  833W,  15, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG07, 060, 259N,  851W,  13, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG08, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG09, 000, 271N,  761W,  16, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG09, 006, 272N,  770W,  15, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG09, 012, 276N,  770W,  12, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG09, 018, 280N,  771W,  14, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG09, 024, 283N,  773W,  12, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG09, 030, 282N,  772W,  13, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG09, 036, 280N,  773W,   9, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG09, 042, 278N,  774W,  10, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 000, 264N,  786W,  17, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 006, 262N,  804W,  16, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 012, 264N,  818W,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 018, 265N,  825W,  15, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 024, 265N,  832W,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 030, 270N,  839W,  18, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 036, 276N,  845W,  14, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 042, 280N,  851W,  15, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 048, 282N,  861W,  12, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 054, 290N,  868W,  16, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 060, 299N,  872W,  13, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 066, 305N,  873W,  14, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 072, 308N,  874W,  12, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 078, 320N,  877W,  11, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 084, 328N,  870W,  11, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 090, 328N,  872W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 096, 331N,  873W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 102, 348N,  869W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 108, 355N,  853W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 114, 361N,  836W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 120, 361N,  820W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 126, 353N,  810W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 132, 346N,  784W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 138, 343N,  758W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 144, 337N,  741W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 150, 334N,  734W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 156, 343N,  708W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 162, 347N,  697W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 168, 350N,  688W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 174, 356N,  685W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG10, 180, 361N,  677W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG11, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG12, 000, 263N,  747W,  11, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG12, 006, 255N,  749W,  12, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG12, 012, 255N,  755W,  14, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG13, 000, 267N,  775W,  13, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG13, 006, 270N,  782W,  13, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG13, 012, 273N,  784W,  13, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG13, 018, 282N,  785W,  13, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG13, 024, 283N,  785W,  12, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG13, 030, 284N,  790W,  15, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG13, 036, 283N,  794W,  12, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG13, 042, 285N,  800W,  15, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG13, 048, 284N,  806W,  14, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG14, 000, 257N,  765W,  17, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG14, 006, 256N,  777W,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG14, 012, 263N,  784W,  15, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG14, 018, 267N,  789W,  16, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG14, 024, 270N,  795W,  14, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG14, 030, 273N,  802W,  16, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG14, 036, 278N,  807W,  17, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG14, 042, 279N,  813W,  11, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG15, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG16, 000, 266N,  771W,  12, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG16, 006, 271N,  783W,  13, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG16, 012, 279N,  786W,  12, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG16, 018, 286N,  794W,  12, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG16, 024, 284N,  801W,  10, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG16, 030, 280N,  803W,  10, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG17, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 000, 284N,  767W,  14, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 006, 285N,  766W,  15, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 92, 2014091100, 03, NG18, 012, 283N,  764W,  12, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
