CP, 91, 2009072006, 03, AP07,  18, 109N, 1661W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP07,  24, 106N, 1680W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP07,  30, 109N, 1697W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP07,  36, 117N, 1712W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP07,  42, 120N, 1730W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP07,  48, 119N, 1749W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP08,   0,  87N, 1610W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP08,   6,  90N, 1625W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP08,  12,  88N, 1646W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP08,  18,  87N, 1660W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP08,  24,  82N, 1681W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP09,   0,  93N, 1608W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP09,   6,  91N, 1631W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP09,  12,  99N, 1647W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP09,  18,  98N, 1663W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP09,  24, 103N, 1682W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP09,  30, 105N, 1698W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP09,  36, 106N, 1717W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP10,   0,  90N, 1607W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP10,   6,  94N, 1621W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP10,  12, 100N, 1635W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP10,  18,  96N, 1660W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP10,  24, 102N, 1680W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP10,  30, 108N, 1693W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP10,  36, 113N, 1708W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP10,  42, 118N, 1721W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP10,  48, 113N, 1739W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP11,   0,  87N, 1608W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP11,   6,  84N, 1614W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP11,  12,  90N, 1635W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP11,  18,  86N, 1660W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP11,  24,  82N, 1682W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP12,   0,  92N, 1616W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP12,   6,  93N, 1631W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP12,  12,  95N, 1650W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP12,  18,  94N, 1673W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP12,  24, 102N, 1691W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP12,  30,  96N, 1718W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP13,   0,  93N, 1606W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP13,   6,  96N, 1615W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP13,  12, 100N, 1630W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP13,  18,  98N, 1645W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP13,  24, 103N, 1664W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP13,  30, 105N, 1678W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP13,  36, 102N, 1695W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP13,  42, 100N, 1709W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP13,  48, 104N, 1730W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP14,   0,  91N, 1615W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP14,   6,  93N, 1630W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP14,  12,  98N, 1652W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP14,  18,  95N, 1673W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP14,  24,  98N, 1693W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP14,  30,  93N, 1710W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP15,   0,  90N, 1611W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP15,   6,  91N, 1631W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP15,  12,  96N, 1647W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP15,  18,  93N, 1672W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP15,  24,  98N, 1689W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP15,  30,  98N, 1708W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP16,   0,  89N, 1609W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP16,   6,  84N, 1629W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP16,  12,  90N, 1645W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP16,  18,  86N, 1665W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP16,  24,  86N, 1680W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP16,  30,  89N, 1699W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP16,  36,  93N, 1721W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP16,  42,  95N, 1739W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP16,  48,  90N, 1759W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP16,  54,  85N, 1772W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP17,   0,  95N, 1614W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP17,   6, 101N, 1630W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP17,  12, 101N, 1641W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP17,  18, 103N, 1667W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP17,  24, 111N, 1688W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP17,  30, 106N, 1711W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP18,   0,  87N, 1606W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP18,   6,  90N, 1620W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP18,  12,  89N, 1638W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP18,  18,  89N, 1659W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP18,  24,  88N, 1680W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP18,  30,  87N, 1699W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP19,   0,  93N, 1610W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP19,   6,  98N, 1621W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP19,  12, 101N, 1640W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP19,  18, 100N, 1660W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP19,  24,  98N, 1681W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP19,  30, 107N, 1692W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP19,  36, 109N, 1710W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP19,  42, 109N, 1730W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP20,   0,  96N, 1606W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP20,   6,  98N, 1618W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP20,  12,  96N, 1629W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AP20,  18,  87N, 1649W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AVNO,   0,  92N, 1611W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, AVNO,   6,  93N, 1627W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
