IO, 91, 2023050906, 03, CTCX, 102, 192N,  924E,  81,  970, XX,  64, NEQ, 0000, 0052, 0052, 0000,    0,    0, 040
IO, 91, 2023050906, 03, CTCX, 108, 208N,  929E,  55,  976, XX,  34, NEQ, 0034, 0137, 0171, 0111,    0,    0, 033
IO, 91, 2023050906, 03, CTCX, 108, 208N,  929E,  55,  976, XX,  50, NEQ, 0000, 0000, 0049, 0000,    0,    0, 033
IO, 91, 2023050906, 03, CTCX, 114, 223N,  945E,  35,  982, XX,  34, NEQ, 0033, 0045, 0000, 0000,    0,    0, 031
IO, 91, 2023050906, 03, CTCX, 120, 240N,  957E,  27,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 040
IO, 91, 2023050906, 03, CTCX, 126, 261N,  965E,  25,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 103
IO, 91, 2023050912, 01, CARQ, -12, 072N, 0894E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  40,   0,   0,   B,   0,   X, 275,  11,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO912023, JTWC, NCEP_TCVITALS, 
IO, 91, 2023050912, 01, CARQ,  -6, 082N, 0896E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  90,   0,   0,   B,   0,   X, 295,   8,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO912023, JTWC, NCEP_TCVITALS, 
IO, 91, 2023050912, 01, CARQ,   0, 083N, 0883E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1004,  195,  90,   0,   0,   B,   0,   X, 285,   9,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO912023, JTWC, NCEP_TCVITALS, 
IO, 91, 2023050912, 01, CARQ,   0, 083N, 0883E,  30, 1002, XX,  50, NEQ,    0,    0,    0,    0, 1004,  195,  90,   0,   0,   B,   0,   X, 285,   9,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO912023, JTWC, NCEP_TCVITALS, 
IO, 91, 2023050912, 01, CARQ,   0, 083N, 0883E,  30, 1002, XX,  64, NEQ,    0,    0,    0,    0, 1004,  195,  90,   0,   0,   B,   0,   X, 285,   9,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO912023, JTWC, NCEP_TCVITALS, 
IO, 91, 2023050912, 03, CTCX, 000,  70N,  894E,  31,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 044
IO, 91, 2023050912, 03, CTCX, 006,  78N,  899E,  38, 1001, XX,  34, NEQ, 0142, 0165, 0040, 0000,    0,    0, 044
IO, 91, 2023050912, 03, CTCX, 012,  91N,  908E,  48,  998, XX,  34, NEQ, 0058, 0225, 0192, 0189,    0,    0, 025
IO, 91, 2023050912, 03, CTCX, 018, 100N,  901E,  49,  994, XX,  34, NEQ, 0168, 0199, 0186, 0132,    0,    0, 013
IO, 91, 2023050912, 03, CTCX, 024, 108N,  894E,  50,  986, XX,  34, NEQ, 0208, 0191, 0203, 0154,    0,    0, 016
IO, 91, 2023050912, 03, CTCX, 030, 115N,  891E,  50,  984, XX,  34, NEQ, 0249, 0184, 0152, 0177,    0,    0, 033
IO, 91, 2023050912, 03, CTCX, 030, 115N,  891E,  50,  984, XX,  50, NEQ, 0033, 0000, 0000, 0000,    0,    0, 033
IO, 91, 2023050912, 03, CTCX, 036, 121N,  887E,  62,  978, XX,  34, NEQ, 0214, 0227, 0164, 0160,    0,    0, 013
IO, 91, 2023050912, 03, CTCX, 036, 121N,  887E,  62,  978, XX,  50, NEQ, 0000, 0039, 0021, 0029,    0,    0, 013
