EP, 97, 2014080212, 03, NG03, 138, 171N, 1399W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 144, 175N, 1414W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 150, 180N, 1430W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 156, 181N, 1450W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 162, 186N, 1466W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 168, 191N, 1480W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 174, 197N, 1495W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG03, 180, 212N, 1500W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG04, 090, 136N, 1295W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG04, 096, 138N, 1307W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG04, 102, 143N, 1318W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG04, 108, 147N, 1331W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG04, 114, 152N, 1343W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG04, 120, 156N, 1357W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG04, 126, 160N, 1370W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG04, 132, 161N, 1385W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG04, 138, 164N, 1396W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
