IO, 01, 2020051612, 03, JTWC,   0, 103N,  860E,  40,    0, TS,  34, NEQ,   50,   30,   30,   65,    0,    0,   0,   0,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,   3, 106N,  860E,  40,    0, TS,  34, NEQ,   50,   30,   30,   65,    0,    0,   0,   0,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  12, 113N,  860E,  50,    0, TS,  34, NEQ,  130,  140,  140,   90,    0,    0,   0,  65,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  12, 113N,  860E,  50,    0, TS,  50, NEQ,   30,   50,   50,   50,    0,    0,   0,  65,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  24, 125N,  861E,  65,    0, TY,  34, NEQ,  170,  170,  160,  110,    0,    0,   0,  80,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  24, 125N,  861E,  65,    0, TY,  50, NEQ,   30,   40,   50,   40,    0,    0,   0,  80,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  24, 125N,  861E,  65,    0, TY,  64, NEQ,   10,    0,   40,   10,    0,    0,   0,  80,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  36, 137N,  862E,  75,    0, TY,  34, NEQ,  180,  210,  180,  140,    0,    0,   0,  90,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  36, 137N,  862E,  75,    0, TY,  50, NEQ,   50,   80,   70,   50,    0,    0,   0,  90,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  36, 137N,  862E,  75,    0, TY,  64, NEQ,   20,   40,   40,   20,    0,    0,   0,  90,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  48, 151N,  865E,  85,    0, TY,  34, NEQ,  180,  220,  180,  160,    0,    0,   0, 105,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  48, 151N,  865E,  85,    0, TY,  50, NEQ,   60,   90,   80,   70,    0,    0,   0, 105,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  48, 151N,  865E,  85,    0, TY,  64, NEQ,   30,   40,   50,   40,    0,    0,   0, 105,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  72, 187N,  878E,  80,    0, TY,  34, NEQ,  150,  180,  160,  120,    0,    0,   0, 100,   0,    ,   0, RCB,   0,   0, 
IO, 01, 2020051612, 03, JTWC,  72, 187N,  878E,  80,    0, TY,  50, NEQ,   80,   90,   80,   80,    0,    0,   0, 100,   0,    ,   0, RCB,   0,   0, 
