AL, 93, 2014073012, 03, GFDN,  90, 195N,  638W,  84,  981
AL, 93, 2014073012, 03, GFDN,  96, 204N,  652W,  80,  981
AL, 93, 2014073012, 03, NG20, 138, 227N,  743W,   0, 1017, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 144, 229N,  758W,   0, 1017, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 150, 235N,  769W,   0, 1017, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 156, 239N,  780W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 162, 241N,  790W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 168, 250N,  801W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 174, 260N,  807W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG20, 180, 268N,  811W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NVGM, 090, 182N,  618W,  41, 1013, XX,  34, NEQ, 0113, 0084, 0000, 0056
AL, 93, 2014073012, 03, NVGM, 096, 187N,  629W,  41, 1013, XX,  34, NEQ, 0115, 0054, 0000, 0113
AL, 93, 2014073012, 03, NVGM, 102, 193N,  640W,  42, 1013, XX,  34, NEQ, 0089, 0062, 0000, 0054
AL, 93, 2014073012, 03, NVGM, 108, 197N,  651W,  45, 1013, XX,  34, NEQ, 0070, 0066, 0000, 0070
AL, 93, 2014073012, 03, NVGM, 114, 200N,  664W,  42, 1013, XX,  34, NEQ, 0099, 0060, 0000, 0071
AL, 93, 2014073012, 03, NVGM, 120, 204N,  678W,  49, 1013, XX,  34, NEQ, 0094, 0000, 0000, 0109
AL, 93, 2014073012, 03, NVGM, 126, 208N,  693W,  44, 1013, XX,  34, NEQ, 0089, 0000, 0000, 0077
AL, 93, 2014073012, 03, NVGM, 132, 211N,  706W,  42, 1013, XX,  34, NEQ, 0133, 0065, 0000, 0095
AL, 93, 2014073012, 03, NVGM, 138, 213N,  721W,  42, 1013, XX,  34, NEQ, 0118, 0000, 0000, 0000
AL, 93, 2014073012, 03, NVGM, 144, 217N,  735W,  40, 1013, XX,  34, NEQ, 0093, 0000, 0000, 0059
AL, 93, 2014073012, 03, NVGM, 150, 223N,  747W,  37, 1013, XX,  34, NEQ, 0064, 0000, 0000, 0000
AL, 93, 2014073018, 03, GFDN,  90, 207N,  650W,  70,  988
AL, 93, 2014073018, 03, GFDN,  96, 217N,  663W,  74,  988
AL, 93, 2014073018, 03, GFDN, 102, 225N,  674W,  76,  987
AL, 93, 2014073018, 03, GFDN, 108, 233N,  683W,  70,  988
AL, 93, 2014073018, 03, GFDN, 114, 242N,  694W,  72,  987
AL, 93, 2014073018, 03, GFDN, 120, 251N,  703W,  77,  983
AL, 93, 2014073018, 03, GFDN, 126, 260N,  709W,  79,  980
AL, 93, 2014073018, 03, NVGM, 090, 194N,  627W,  42, 1013, XX,  34, NEQ, 0114, 0081, 0000, 0099
AL, 93, 2014073018, 03, NVGM, 096, 202N,  636W,  43, 1013, XX,  34, NEQ, 0091, 0103, 0000, 0080
AL, 93, 2014073018, 03, NVGM, 102, 206N,  646W,  42, 1013, XX,  34, NEQ, 0089, 0079, 0000, 0110
AL, 93, 2014073018, 03, NVGM, 108, 210N,  657W,  45, 1013, XX,  34, NEQ, 0123, 0046, 0000, 0077
AL, 93, 2014073018, 03, NVGM, 114, 214N,  669W,  46, 1013, XX,  34, NEQ, 0134, 0054, 0000, 0129
AL, 93, 2014073018, 03, NVGM, 120, 217N,  681W,  45, 1013, XX,  34, NEQ, 0125, 0089, 0000, 0099
AL, 93, 2014073018, 03, NVGM, 126, 220N,  691W,  44, 1013, XX,  34, NEQ, 0089, 0038, 0000, 0075
AL, 93, 2014073018, 03, NVGM, 132, 222N,  704W,  46, 1013, XX,  34, NEQ, 0030, 0062, 0000, 0098
AL, 93, 2014073018, 03, NVGM, 138, 226N,  716W,  46, 1013, XX,  34, NEQ, 0075, 0101, 0000, 0067
AL, 93, 2014073018, 03, NVGM, 144, 232N,  727W,  44, 1014, XX,  34, NEQ, 0104, 0070, 0000, 0061
AL, 93, 2014073100, 03, GFDN,  90, 217N,  669W,  67,  991
AL, 93, 2014073100, 03, GFDN,  96, 225N,  679W,  65,  993
AL, 93, 2014073100, 03, GFDN, 102, 232N,  689W,  67,  993
AL, 93, 2014073100, 03, GFDN, 108, 240N,  698W,  65,  990
AL, 93, 2014073100, 03, GFDN, 114, 249N,  707W,  74,  989
AL, 93, 2014073100, 03, GFDN, 120, 257N,  714W,  76,  985
AL, 93, 2014073100, 03, GFDN, 126, 267N,  720W,  73,  985
AL, 93, 2014073100, 03, NG01, 090, 211N,  648W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 096, 218N,  652W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 102, 223N,  658W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 108, 230N,  664W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 114, 238N,  670W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 120, 243N,  676W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073100, 03, NG01, 126, 250N,  680W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
