IO, 91, 2020051500, 03, COTC, 072, 201N,  928E,  51,  980, XX,  34, NEQ, 0000, 0330, 0305, 0110,    0,    0, 107
IO, 91, 2020051500, 03, COTC, 072, 201N,  928E,  51,  980, XX,  50, NEQ, 0000, 0109, 0131, 0000,    0,    0, 107
IO, 91, 2020051500, 03, COTC, 078, 208N,  935E,  48,  982, XX,  34, NEQ, 0000, 0330, 0244, 0000,    0,    0, 089
IO, 91, 2020051500, 03, COTC, 084, 219N,  947E,  31,  978, XX,  34, NEQ, 0000, 0000, 0252, 0000,    0,    0, 099
IO, 91, 2020051500, 03, COTC, 090, 236N,  960E,  26,  982, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 079
IO, 91, 2020051500, 03, COTC, 096, 251N,  976E,  23,  983, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 103
IO, 91, 2020051500, 03, COTC, 102, 265N, 1000E,  23,  983, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 081
IO, 91, 2020051500, 03, NG01, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, ***
IO, 91, 2020051500, 03, NG02, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, ***
IO, 91, 2020051500, 03, NG03, 000,  99N,  874E,  32, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 096
IO, 91, 2020051500, 03, NG03, 006,  94N,  856E,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 133
IO, 91, 2020051500, 03, NG03, 012,  77N,  843E,  22, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 153
IO, 91, 2020051500, 03, NG04, 000, 110N,  887E,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 157
