IO, 01, 2019042700, 03, NG02, 156, 157N,  865E,  44,  996, XX,  34, NEQ, 0000, 0152, 0081, 0000,    0,    0, 053
IO, 01, 2019042700, 03, NG02, 162, 158N,  872E,  43,  997, XX,  34, NEQ, 0000, 0242, 0151, 0000,    0,    0, 048
IO, 01, 2019042700, 03, NG02, 168, 161N,  882E,  43,  994, XX,  34, NEQ, 0083, 0221, 0160, 0000,    0,    0, 079
IO, 01, 2019042700, 03, NG02, 174, 165N,  889E,  44,  993, XX,  34, NEQ, 0116, 0060, 0208, 0000,    0,    0, 070
IO, 01, 2019042700, 03, NG02, 180, 167N,  890E,  48,  990, XX,  34, NEQ, 0116, 0233, 0152, 0045,    0,    0, 136
IO, 01, 2019042700, 03, NG03, 000,  49N,  895E,  49,  999, XX,  34, NEQ, 0169, 0176, 0167, 0035,    0,    0, 065
IO, 01, 2019042700, 03, NG03, 006,  53N,  886E,  44,  999, XX,  34, NEQ, 0097, 0091, 0128, 0034,    0,    0, 059
IO, 01, 2019042700, 03, NG03, 012,  59N,  879E,  56,  998, XX,  34, NEQ, 0094, 0126, 0084, 0065,    0,    0, 046
IO, 01, 2019042700, 03, NG03, 012,  59N,  879E,  56,  998, XX,  50, NEQ, 0000, 0062, 0000, 0000,    0,    0, 046
IO, 01, 2019042700, 03, NG03, 018,  66N,  871E,  53,  999, XX,  34, NEQ, 0119, 0109, 0107, 0033,    0,    0, 046
IO, 01, 2019042700, 03, NG03, 018,  66N,  871E,  53,  999, XX,  50, NEQ, 0000, 0061, 0000, 0000,    0,    0, 046
IO, 01, 2019042700, 03, NG03, 024,  71N,  864E,  52,  997, XX,  34, NEQ, 0108, 0103, 0108, 0070,    0,    0, 046
IO, 01, 2019042700, 03, NG03, 024,  71N,  864E,  52,  997, XX,  50, NEQ, 0053, 0000, 0000, 0000,    0,    0, 046
IO, 01, 2019042700, 03, NG03, 030,  75N,  858E,  50,  996, XX,  34, NEQ, 0150, 0125, 0137, 0103,    0,    0, 057
IO, 01, 2019042700, 03, NG03, 036,  82N,  856E,  56,  994, XX,  34, NEQ, 0094, 0136, 0107, 0019,    0,    0, 050
IO, 01, 2019042700, 03, NG03, 036,  82N,  856E,  56,  994, XX,  50, NEQ, 0057, 0073, 0057, 0000,    0,    0, 050
IO, 01, 2019042700, 03, NG03, 042,  91N,  853E,  57,  997, XX,  34, NEQ, 0137, 0107, 0112, 0105,    0,    0, 055
IO, 01, 2019042700, 03, NG03, 042,  91N,  853E,  57,  997, XX,  50, NEQ, 0061, 0069, 0000, 0000,    0,    0, 055
IO, 01, 2019042700, 03, NG03, 048, 102N,  848E,  53,  994, XX,  34, NEQ, 0122, 0130, 0096, 0089,    0,    0, 065
IO, 01, 2019042700, 03, NG03, 048, 102N,  848E,  53,  994, XX,  50, NEQ, 0077, 0064, 0000, 0000,    0,    0, 065
IO, 01, 2019042700, 03, NG03, 054, 109N,  840E,  56,  994, XX,  34, NEQ, 0155, 0157, 0107, 0120,    0,    0, 045
IO, 01, 2019042700, 03, NG03, 054, 109N,  840E,  56,  994, XX,  50, NEQ, 0070, 0068, 0000, 0070,    0,    0, 045
IO, 01, 2019042700, 03, NG03, 060, 117N,  836E,  64,  992, XX,  34, NEQ, 0171, 0138, 0122, 0066,    0,    0, 047
IO, 01, 2019042700, 03, NG03, 060, 117N,  836E,  64,  992, XX,  50, NEQ, 0000, 0081, 0074, 0000,    0,    0, 047
IO, 01, 2019042700, 03, NG03, 066, 123N,  831E,  54,  994, XX,  34, NEQ, 0114, 0154, 0117, 0021,    0,    0, 049
IO, 01, 2019042700, 03, NG03, 066, 123N,  831E,  54,  994, XX,  50, NEQ, 0000, 0057, 0066, 0000,    0,    0, 049
IO, 01, 2019042700, 03, NG03, 072, 129N,  828E,  61,  991, XX,  34, NEQ, 0110, 0148, 0147, 0078,    0,    0, 050
IO, 01, 2019042700, 03, NG03, 072, 129N,  828E,  61,  991, XX,  50, NEQ, 0063, 0074, 0064, 0000,    0,    0, 050
IO, 01, 2019042700, 03, NG03, 078, 132N,  823E,  54,  992, XX,  34, NEQ, 0100, 0060, 0139, 0069,    0,    0, 046
IO, 01, 2019042700, 03, NG03, 078, 132N,  823E,  54,  992, XX,  50, NEQ, 0000, 0060, 0000, 0000,    0,    0, 046
IO, 01, 2019042700, 03, NG03, 084, 136N,  820E,  60,  987, XX,  34, NEQ, 0087, 0171, 0125, 0101,    0,    0, 044
IO, 01, 2019042700, 03, NG03, 084, 136N,  820E,  60,  987, XX,  50, NEQ, 0042, 0078, 0082, 0000,    0,    0, 044
IO, 01, 2019042700, 03, NG03, 090, 137N,  818E,  56,  990, XX,  34, NEQ, 0102, 0150, 0134, 0050,    0,    0, 059
IO, 01, 2019042700, 03, NG03, 090, 137N,  818E,  56,  990, XX,  50, NEQ, 0049, 0079, 0060, 0000,    0,    0, 059
IO, 01, 2019042700, 03, NG03, 096, 139N,  819E,  56,  989, XX,  34, NEQ, 0103, 0175, 0112, 0030,    0,    0, 043
IO, 01, 2019042700, 03, NG03, 096, 139N,  819E,  56,  989, XX,  50, NEQ, 0000, 0063, 0066, 0000,    0,    0, 043
IO, 01, 2019042700, 03, NG03, 102, 143N,  823E,  59,  991, XX,  34, NEQ, 0123, 0204, 0149, 0032,    0,    0, 049
IO, 01, 2019042700, 03, NG03, 102, 143N,  823E,  59,  991, XX,  50, NEQ, 0000, 0080, 0088, 0000,    0,    0, 049
IO, 01, 2019042700, 03, NG03, 108, 147N,  824E,  58,  988, XX,  34, NEQ, 0109, 0144, 0080, 0094,    0,    0, 041
IO, 01, 2019042700, 03, NG03, 108, 147N,  824E,  58,  988, XX,  50, NEQ, 0000, 0072, 0069, 0044,    0,    0, 041
IO, 01, 2019042700, 03, NG03, 114, 146N,  825E,  58,  989, XX,  34, NEQ, 0099, 0179, 0076, 0060,    0,    0, 037
IO, 01, 2019042700, 03, NG03, 114, 146N,  825E,  58,  989, XX,  50, NEQ, 0000, 0057, 0069, 0000,    0,    0, 037
IO, 01, 2019042700, 03, NG03, 120, 146N,  830E,  67,  987, XX,  34, NEQ, 0065, 0149, 0137, 0116,    0,    0, 046
IO, 01, 2019042700, 03, NG03, 120, 146N,  830E,  67,  987, XX,  50, NEQ, 0000, 0069, 0084, 0000,    0,    0, 046
IO, 01, 2019042700, 03, NG03, 120, 146N,  830E,  67,  987, XX,  64, NEQ, 0000, 0050, 0000, 0000,    0,    0, 046
