SH, 16, 2012030806, 03, AVNO, 006, 161S,  896E,  45,  993, XX,  34, NEQ, 0083, 0266, 0177, 0082
SH, 16, 2012030806, 03, AVNO, 012, 162S,  889E,  50,  992, XX,  34, NEQ, 0103, 0198, 0199, 0081
SH, 16, 2012030806, 03, AVNO, 018, 167S,  882E,  52,  989, XX,  34, NEQ, 0110, 0159, 0176, 0076
SH, 16, 2012030806, 03, AVNO, 018, 167S,  882E,  52,  989, XX,  50, NEQ, 0000, 0071, 0066, 0049
SH, 16, 2012030806, 03, AVNO, 024, 174S,  871E,  64,  989, XX,  34, NEQ, 0087, 0164, 0190, 0079
SH, 16, 2012030806, 03, AVNO, 024, 174S,  871E,  64,  989, XX,  50, NEQ, 0058, 0076, 0078, 0000
SH, 16, 2012030806, 03, AVNO, 030, 180S,  860E,  65,  987, XX,  34, NEQ, 0092, 0247, 0213, 0091
SH, 16, 2012030806, 03, AVNO, 030, 180S,  860E,  65,  987, XX,  50, NEQ, 0044, 0082, 0082, 0064
SH, 16, 2012030806, 03, AVNO, 030, 180S,  860E,  65,  987, XX,  64, NEQ, 0000, 0000, 0043, 0000
SH, 16, 2012030806, 03, AVNO, 036, 186S,  849E,  60,  987, XX,  34, NEQ, 0122, 0253, 0211, 0081
SH, 16, 2012030806, 03, AVNO, 036, 186S,  849E,  60,  987, XX,  50, NEQ, 0063, 0092, 0089, 0063
