SH, 06, 2016010100, 03, CTCX, 024, 185S, 1746W,  70,  966, XX,  50, NEQ, 0040, 0070, 0073, 0049,    0,    0, 027
SH, 06, 2016010100, 03, CTCX, 024, 185S, 1746W,  70,  966, XX,  64, NEQ, 0000, 0034, 0039, 0000,    0,    0, 027
SH, 06, 2016010100, 03, CTCX, 030, 186S, 1756W,  67,  965, XX,  34, NEQ, 0101, 0207, 0161, 0104,    0,    0, 024
SH, 06, 2016010100, 03, CTCX, 030, 186S, 1756W,  67,  965, XX,  50, NEQ, 0037, 0072, 0067, 0053,    0,    0, 024
SH, 06, 2016010100, 03, CTCX, 030, 186S, 1756W,  67,  965, XX,  64, NEQ, 0000, 0000, 0028, 0025,    0,    0, 024
SH, 06, 2016010100, 03, CTCX, 036, 189S, 1766W,  67,  967, XX,  34, NEQ, 0094, 0174, 0127, 0101,    0,    0, 025
SH, 06, 2016010100, 03, CTCX, 036, 189S, 1766W,  67,  967, XX,  50, NEQ, 0037, 0060, 0060, 0046,    0,    0, 025
SH, 06, 2016010100, 03, CTCX, 036, 189S, 1766W,  67,  967, XX,  64, NEQ, 0000, 0000, 0031, 0026,    0,    0, 025
SH, 06, 2016010100, 03, CTCX, 042, 190S, 1772W,  68,  964, XX,  34, NEQ, 0104, 0164, 0132, 0105,    0,    0, 022
SH, 06, 2016010100, 03, CTCX, 042, 190S, 1772W,  68,  964, XX,  50, NEQ, 0053, 0052, 0051, 0048,    0,    0, 022
SH, 06, 2016010100, 03, CTCX, 042, 190S, 1772W,  68,  964, XX,  64, NEQ, 0027, 0023, 0028, 0024,    0,    0, 022
SH, 06, 2016010100, 03, CTCX, 048, 195S, 1775W,  70,  961, XX,  34, NEQ, 0118, 0115, 0108, 0119,    0,    0, 026
SH, 06, 2016010100, 03, CTCX, 048, 195S, 1775W,  70,  961, XX,  50, NEQ, 0052, 0053, 0052, 0036,    0,    0, 026
SH, 06, 2016010100, 03, CTCX, 048, 195S, 1775W,  70,  961, XX,  64, NEQ, 0017, 0035, 0032, 0022,    0,    0, 026
SH, 06, 2016010100, 03, CTCX, 054, 201S, 1778W,  82,  955, XX,  34, NEQ, 0098, 0132, 0119, 0089,    0,    0, 020
SH, 06, 2016010100, 03, CTCX, 054, 201S, 1778W,  82,  955, XX,  50, NEQ, 0049, 0052, 0049, 0046,    0,    0, 020
SH, 06, 2016010100, 03, CTCX, 054, 201S, 1778W,  82,  955, XX,  64, NEQ, 0030, 0031, 0031, 0027,    0,    0, 020
SH, 06, 2016010100, 03, CTCX, 060, 206S, 1781W,  85,  957, XX,  34, NEQ, 0110, 0138, 0129, 0075,    0,    0, 018
SH, 06, 2016010100, 03, CTCX, 060, 206S, 1781W,  85,  957, XX,  50, NEQ, 0048, 0054, 0052, 0039,    0,    0, 018
SH, 06, 2016010100, 03, CTCX, 060, 206S, 1781W,  85,  957, XX,  64, NEQ, 0026, 0034, 0033, 0022,    0,    0, 018
SH, 06, 2016010100, 03, CTCX, 066, 212S, 1783W,  79,  958, XX,  34, NEQ, 0119, 0124, 0105, 0081,    0,    0, 019
SH, 06, 2016010100, 03, CTCX, 066, 212S, 1783W,  79,  958, XX,  50, NEQ, 0051, 0059, 0060, 0034,    0,    0, 019
SH, 06, 2016010100, 03, CTCX, 066, 212S, 1783W,  79,  958, XX,  64, NEQ, 0029, 0033, 0035, 0023,    0,    0, 019
SH, 06, 2016010100, 03, CTCX, 072, 218S, 1784W,  72,  965, XX,  34, NEQ, 0104, 0126, 0096, 0076,    0,    0, 021
SH, 06, 2016010100, 03, CTCX, 072, 218S, 1784W,  72,  965, XX,  50, NEQ, 0049, 0049, 0049, 0039,    0,    0, 021
SH, 06, 2016010100, 03, CTCX, 072, 218S, 1784W,  72,  965, XX,  64, NEQ, 0025, 0029, 0029, 0000,    0,    0, 021
SH, 06, 2016010100, 03, CTCX, 078, 222S, 1785W,  60,  969, XX,  34, NEQ, 0097, 0122, 0110, 0077,    0,    0, 028
SH, 06, 2016010100, 03, CTCX, 078, 222S, 1785W,  60,  969, XX,  50, NEQ, 0047, 0066, 0066, 0031,    0,    0, 028
SH, 06, 2016010100, 03, CTCX, 084, 229S, 1784W,  59,  974, XX,  34, NEQ, 0140, 0113, 0113, 0082,    0,    0, 027
SH, 06, 2016010100, 03, CTCX, 084, 229S, 1784W,  59,  974, XX,  50, NEQ, 0044, 0050, 0049, 0045,    0,    0, 027
SH, 06, 2016010100, 03, CTCX, 090, 233S, 1784W,  54,  978, XX,  34, NEQ, 0170, 0136, 0110, 0084,    0,    0, 034
SH, 06, 2016010100, 03, CTCX, 090, 233S, 1784W,  54,  978, XX,  50, NEQ, 0043, 0036, 0043, 0039,    0,    0, 034
SH, 06, 2016010100, 03, CTCX, 096, 237S, 1781W,  52,  982, XX,  34, NEQ, 0101, 0128, 0092, 0081,    0,    0, 034
SH, 06, 2016010100, 03, CTCX, 096, 237S, 1781W,  52,  982, XX,  50, NEQ, 0000, 0000, 0038, 0000,    0,    0, 034
SH, 06, 2016010100, 03, CTCX, 102, 242S, 1776W,  47,  983, XX,  34, NEQ, 0102, 0120, 0089, 0081,    0,    0, 037
SH, 06, 2016010100, 03, CTCX, 108, 244S, 1772W,  50,  986, XX,  34, NEQ, 0114, 0102, 0093, 0091,    0,    0, 039
SH, 06, 2016010100, 03, CTCX, 108, 244S, 1772W,  50,  986, XX,  50, NEQ, 0000, 0000, 0039, 0000,    0,    0, 039
SH, 06, 2016010100, 03, CTCX, 114, 246S, 1766W,  49,  987, XX,  34, NEQ, 0102, 0097, 0080, 0081,    0,    0, 041
SH, 06, 2016010100, 03, CTCX, 120, 247S, 1761W,  40,  992, XX,  34, NEQ, 0113, 0091, 0081, 0087,    0,    0, 081
SH, 06, 2016010100, 03, CTCX, 126, 248S, 1753W,  31,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 089
SH, 06, 2016010100, 03, GFDN,   0, 167S, 1703W,  85,  957
SH, 06, 2016010100, 03, GFDN,   6, 172S, 1711W,  78,  964
SH, 06, 2016010100, 03, GFDN,  12, 174S, 1719W,  70,  967
SH, 06, 2016010100, 03, GFDN,  18, 176S, 1729W,  75,  966
SH, 06, 2016010100, 03, GFDN,  24, 176S, 1736W,  65,  967
SH, 06, 2016010100, 03, GFDN,  30, 179S, 1744W,  76,  963
SH, 06, 2016010100, 03, GFDN,  36, 181S, 1754W,  76,  961
SH, 06, 2016010100, 03, GFDN,  42, 185S, 1765W,  74,  964
SH, 06, 2016010100, 03, GFDN,  48, 189S, 1775W,  80,  960
SH, 06, 2016010100, 03, GFDN,  54, 191S, 1781W,  70,  964
SH, 06, 2016010100, 03, GFDN,  60, 193S, 1786W,  79,  961
SH, 06, 2016010100, 03, GFDN,  66, 196S, 1790W,  71,  964
SH, 06, 2016010100, 03, GFDN,  72, 200S, 1794W,  72,  966
SH, 06, 2016010100, 03, GFDN,  78, 202S, 1796W,  71,  967
SH, 06, 2016010100, 03, GFDN,  84, 204S, 1797W,  65,  969
SH, 06, 2016010100, 03, GFDN,  90, 208S, 1798W,  65,  971
SH, 06, 2016010100, 03, GFDN,  96, 212S, 1799W,  54,  975
SH, 06, 2016010100, 03, GFDN, 102, 216S, 1800E,  55,  977
SH, 06, 2016010100, 03, GFDN, 108, 218S, 1800E,  61,  976
SH, 06, 2016010100, 03, GFDN, 114, 220S, 1799W,  60,  977
SH, 06, 2016010100, 03, GFDN, 120, 224S, 1799W,  55,  981
SH, 06, 2016010100, 03, GFDN, 126, 226S, 1799W,  49,  984
SH, 06, 2016010100, 99, CHIP,   0, 167S, 1704W,  91,  969,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,   6, 170S, 1715W,  85,  972,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  12, 174S, 1726W,  82,  974,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  18, 176S, 1738W,  81,  975,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  24, 179S, 1750W,  79,  976,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  30, 181S, 1760W,  77,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  36, 184S, 1771W,  76,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  42, 186S, 1777W,  77,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  48, 189S, 1784W,  74,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  54, 191S, 1787W,  69,  980,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  60, 194S, 1790W,  55,  988,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  66, 196S, 1793W,  45,  992,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  72, 199S, 1797W,  40,  994,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  78, 200S, 1798W,  38,  996,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  84, 202S, 1799W,  37,  996,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  90, 204S, 1799E,  35,  997,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP,  96, 206S, 1797E,  33,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP, 102, 206S, 1796E,  32,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP, 108, 207S, 1795E,  31,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP, 114, 208S, 1794E,  31,  999,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHIP, 120, 209S, 1792E,  30,  999,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,   0, 167S, 1704W,  91,  967,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,   6, 170S, 1715W,  86,  970,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  12, 174S, 1726W,  83,  973,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  18, 176S, 1738W,  80,  975,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  24, 179S, 1750W,  78,  976,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  30, 181S, 1760W,  76,  978,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  36, 184S, 1771W,  76,  978,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  42, 186S, 1777W,  76,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  48, 189S, 1784W,  73,  978,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  54, 191S, 1787W,  69,  980,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  60, 194S, 1790W,  55,  988,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  66, 196S, 1793W,  45,  992,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  72, 199S, 1797W,  41,  994,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  78, 200S, 1798W,  38,  996,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  84, 202S, 1799W,  37,  996,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP2,  90, 204S, 1799E,  35,  997,   ,   0,    ,    0,    0,    0,    0,
