IO, 08, 2018121606, 03, AP13, 018, 154N,  829E,  46,  995, XX,  34, NEQ, 0103, 0099, 0088, 0076
IO, 08, 2018121606, 03, AP13, 024, 165N,  829E,  43, 1000, XX,  34, NEQ, 0080, 0071, 0067, 0036
IO, 08, 2018121606, 03, AP13, 030, 177N,  829E,  36, 1006, XX,  34, NEQ, 0000, 0065, 0000, 0000
IO, 08, 2018121606, 03, AP13, 036, 187N,  832E,  24, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP13, 042, 202N,  838E,  19, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP13, 048, 216N,  859E,  22, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP13, 054, 216N,  870E,  21, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP13, 060, 228N,  892E,  18, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP13, 066, 246N,  901E,  12, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP13, 072, 264N,  907E,  13, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP14, 000, 127N,  837E,  43,  997, XX,  34, NEQ, 0519, 0260, 0111, 0000
IO, 08, 2018121606, 03, AP14, 006, 135N,  841E,  45,  997, XX,  34, NEQ, 0245, 0095, 0136, 0243
IO, 08, 2018121606, 03, AP14, 012, 146N,  843E,  38, 1000, XX,  34, NEQ, 0112, 0102, 0087, 0173
IO, 08, 2018121606, 03, AP14, 018, 159N,  840E,  36, 1001, XX,  34, NEQ, 0087, 0000, 0067, 0074
IO, 08, 2018121606, 03, AP14, 024, 173N,  835E,  36, 1003, XX,  34, NEQ, 0084, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP14, 030, 187N,  837E,  32, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP14, 036, 198N,  838E,  22, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP14, 042, 207N,  841E,  22, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP14, 048, 220N,  859E,  22, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP14, 054, 238N,  890E,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP14, 060, 249N,  911E,  13, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP14, 066, 265N,  927E,  17, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
IO, 08, 2018121606, 03, AP15, 000, 125N,  837E,  40,  997, XX,  34, NEQ, 0120, 0000, 0101, 0179
