SH, 07, 2016011500, 03, COTC, 066, 179S, 1645W,  78,  970, XX,  50, NEQ, 0171, 0155, 0113, 0085,    0,    0, 049
SH, 07, 2016011500, 03, COTC, 066, 179S, 1645W,  78,  970, XX,  64, NEQ, 0063, 0092, 0000, 0000,    0,    0, 049
SH, 07, 2016011500, 03, COTC, 072, 187S, 1639W,  67,  968, XX,  34, NEQ, 0315, 0270, 0237, 0197,    0,    0, 038
SH, 07, 2016011500, 03, COTC, 072, 187S, 1639W,  67,  968, XX,  50, NEQ, 0164, 0143, 0101, 0099,    0,    0, 038
SH, 07, 2016011500, 03, COTC, 072, 187S, 1639W,  67,  968, XX,  64, NEQ, 0000, 0048, 0044, 0000,    0,    0, 038
SH, 07, 2016011500, 03, COTC, 078, 195S, 1632W,  66,  965, XX,  34, NEQ, 0266, 0279, 0239, 0183,    0,    0, 044
SH, 07, 2016011500, 03, COTC, 078, 195S, 1632W,  66,  965, XX,  50, NEQ, 0170, 0146, 0108, 0094,    0,    0, 044
SH, 07, 2016011500, 03, COTC, 078, 195S, 1632W,  66,  965, XX,  64, NEQ, 0040, 0038, 0051, 0000,    0,    0, 044
SH, 07, 2016011500, 03, COTC, 084, 199S, 1627W,  68,  966, XX,  34, NEQ, 0232, 0297, 0247, 0177,    0,    0, 064
SH, 07, 2016011500, 03, COTC, 084, 199S, 1627W,  68,  966, XX,  50, NEQ, 0122, 0159, 0108, 0100,    0,    0, 064
SH, 07, 2016011500, 03, COTC, 084, 199S, 1627W,  68,  966, XX,  64, NEQ, 0073, 0056, 0000, 0000,    0,    0, 064
SH, 07, 2016011500, 03, COTC, 090, 205S, 1622W,  74,  966, XX,  34, NEQ, 0216, 0271, 0238, 0182,    0,    0, 050
SH, 07, 2016011500, 03, COTC, 090, 205S, 1622W,  74,  966, XX,  50, NEQ, 0152, 0161, 0122, 0096,    0,    0, 050
SH, 07, 2016011500, 03, COTC, 090, 205S, 1622W,  74,  966, XX,  64, NEQ, 0089, 0088, 0068, 0053,    0,    0, 050
SH, 07, 2016011500, 03, COTC, 096, 210S, 1619W,  71,  967, XX,  34, NEQ, 0230, 0286, 0225, 0193,    0,    0, 074
SH, 07, 2016011500, 03, COTC, 096, 210S, 1619W,  71,  967, XX,  50, NEQ, 0124, 0145, 0118, 0097,    0,    0, 074
SH, 07, 2016011500, 03, COTC, 096, 210S, 1619W,  71,  967, XX,  64, NEQ, 0060, 0081, 0089, 0000,    0,    0, 074
SH, 07, 2016011500, 03, COTC, 102, 212S, 1615W,  65,  969, XX,  34, NEQ, 0191, 0279, 0230, 0189,    0,    0, 071
SH, 07, 2016011500, 03, COTC, 102, 212S, 1615W,  65,  969, XX,  50, NEQ, 0116, 0166, 0129, 0107,    0,    0, 071
SH, 07, 2016011500, 03, COTC, 102, 212S, 1615W,  65,  969, XX,  64, NEQ, 0000, 0000, 0074, 0000,    0,    0, 071
SH, 07, 2016011500, 03, COTC, 108, 213S, 1611W,  63,  973, XX,  34, NEQ, 0199, 0262, 0232, 0199,    0,    0, 072
SH, 07, 2016011500, 03, COTC, 108, 213S, 1611W,  63,  973, XX,  50, NEQ, 0111, 0116, 0114, 0104,    0,    0, 072
SH, 07, 2016011500, 03, COTC, 114, 215S, 1610W,  64,  974, XX,  34, NEQ, 0191, 0292, 0230, 0203,    0,    0, 064
SH, 07, 2016011500, 03, COTC, 114, 215S, 1610W,  64,  974, XX,  50, NEQ, 0115, 0139, 0112, 0107,    0,    0, 064
SH, 07, 2016011500, 03, COTC, 114, 215S, 1610W,  64,  974, XX,  64, NEQ, 0000, 0065, 0000, 0000,    0,    0, 064
SH, 07, 2016011500, 03, COTC, 120, 216S, 1607W,  62,  977, XX,  34, NEQ, 0191, 0283, 0285, 0201,    0,    0, 061
SH, 07, 2016011500, 03, COTC, 120, 216S, 1607W,  62,  977, XX,  50, NEQ, 0117, 0122, 0116, 0107,    0,    0, 061
SH, 07, 2016011500, 03, CTCX, 000, 143S, 1655W,  40,  991, XX,  34, NEQ, 0294, 0251, 0172, 0235,    0,    0, 078
SH, 07, 2016011500, 03, CTCX, 006, 147S, 1651W,  53,  990, XX,  34, NEQ, 0286, 0255, 0183, 0249,    0,    0, 108
