Basin,Storm_Number,Storm_Name,Storm_Start_Date,Storm_End_Date,Storm_Year,adeck_path,adeck_path_parquet
al,2,Bonnie,25/05/2016 12:00,05/06/2016 06:00,2016.0,./forecast_data/aal022016.dat,./forecast_data_parquet/aal022016.parquet
al,2,Bret,16/06/2017 12:00,21/06/2017 06:00,2017.0,./forecast_data/aal022017.dat,./forecast_data_parquet/aal022017.parquet
al,2,Beryl,03/07/2018 18:00,16/07/2018 06:00,2018.0,./forecast_data/aal022018.dat,./forecast_data_parquet/aal022018.parquet
al,2,Barry,08/07/2019 12:00,15/07/2019 06:00,2019.0,./forecast_data/aal022019.dat,./forecast_data_parquet/aal022019.parquet
al,2,Bertha,26/05/2020 18:00,28/05/2020 12:00,2020.0,./forecast_data/aal022020.dat,./forecast_data_parquet/aal022020.parquet
al,2,Bill,14/06/2021 00:00,16/06/2021 06:00,2021.0,./forecast_data/aal022021.dat,./forecast_data_parquet/aal022021.parquet
al,2,Bonnie,23/06/2022 18:00,02/07/2022 18:00,2022.0,./forecast_data/aal022022.dat,./forecast_data_parquet/aal022022.parquet
al,2,Arlene,31/05/2023 18:00,04/06/2023 00:00,2023.0,./forecast_data/aal022023.dat,./forecast_data_parquet/aal022023.parquet
al,2,Beryl,2024-06-26 18:00:00,2024-07-11 06:00:00,2024.0,./forecast_data/aal022024.dat,./forecast_data_parquet/aal022024.parquet
al,3,Cindy,02/07/2005 18:00,06/07/2005 18:00,2005.0,./forecast_data/aal032005.dat,./forecast_data_parquet/aal032005.parquet
al,3,Chris,17/07/2006 12:00,06/08/2006 06:00,2006.0,./forecast_data/aal032006.dat,./forecast_data_parquet/aal032006.parquet
al,3,Chantal,28/07/2007 12:00,01/08/2007 12:00,2007.0,./forecast_data/aal032007.dat,./forecast_data_parquet/aal032007.parquet
al,3,Cristobal,17/07/2008 12:00,23/07/2008 06:00,2008.0,./forecast_data/aal032008.dat,./forecast_data_parquet/aal032008.parquet
al,3,Bill,13/08/2009 06:00,24/08/2009 06:00,2009.0,./forecast_data/aal032009.dat,./forecast_data_parquet/aal032009.parquet
al,3,Bonnie,19/07/2010 06:00,24/07/2010 18:00,2010.0,./forecast_data/aal032010.dat,./forecast_data_parquet/aal032010.parquet
al,3,Cindy,19/07/2011 18:00,23/07/2011 00:00,2011.0,./forecast_data/aal032011.dat,./forecast_data_parquet/aal032011.parquet
al,3,Chris,18/06/2012 00:00,22/06/2012 12:00,2012.0,./forecast_data/aal032012.dat,./forecast_data_parquet/aal032012.parquet
al,3,Chantal,06/07/2013 06:00,11/07/2013 18:00,2013.0,./forecast_data/aal032013.dat,./forecast_data_parquet/aal032013.parquet
al,3,Disturbance,01/08/2014 06:00,06/08/2014 12:00,2014.0,./forecast_data/aal032014.dat,./forecast_data_parquet/aal032014.parquet
al,3,Claudette,12/07/2015 00:00,15/07/2015 06:00,2015.0,./forecast_data/aal032015.dat,./forecast_data_parquet/aal032015.parquet
al,3,Colin,03/06/2016 18:00,08/06/2016 00:00,2016.0,./forecast_data/aal032016.dat,./forecast_data_parquet/aal032016.parquet
al,3,Cindy,17/06/2017 12:00,22/06/2017 18:00,2017.0,./forecast_data/aal032017.dat,./forecast_data_parquet/aal032017.parquet
al,3,Chris,05/07/2018 12:00,12/07/2018 12:00,2018.0,./forecast_data/aal032018.dat,./forecast_data_parquet/aal032018.parquet
al,3,Invest,21/07/2019 06:00,24/07/2019 00:00,2019.0,./forecast_data/aal032019.dat,./forecast_data_parquet/aal032019.parquet
al,3,Cristobal,01/06/2020 00:00,10/06/2020 06:00,2020.0,./forecast_data/aal032020.dat,./forecast_data_parquet/aal032020.parquet
al,3,Claudette,12/06/2021 18:00,22/06/2021 06:00,2021.0,./forecast_data/aal032021.dat,./forecast_data_parquet/aal032021.parquet
al,3,Colin,01/07/2022 18:00,03/07/2022 12:00,2022.0,./forecast_data/aal032022.dat,./forecast_data_parquet/aal032022.parquet
al,3,Bret,17/06/2023 00:00,25/06/2023 00:00,2023.0,./forecast_data/aal032023.dat,./forecast_data_parquet/aal032023.parquet
al,3,Chris,2024-06-25 18:00:00,2024-07-01 18:00:00,2024.0,./forecast_data/aal032024.dat,./forecast_data_parquet/aal032024.parquet
al,4,Dennis,04/07/2005 18:00,11/07/2005 12:00,2005.0,./forecast_data/aal042005.dat,./forecast_data_parquet/aal042005.parquet
al,4,Debby,27/07/2006 18:00,27/08/2006 18:00,2006.0,./forecast_data/aal042006.dat,./forecast_data_parquet/aal042006.parquet
al,4,Dean,11/08/2007 18:00,23/08/2007 06:00,2007.0,./forecast_data/aal042007.dat,./forecast_data_parquet/aal042007.parquet
al,4,Dolly,13/07/2008 00:00,24/07/2008 18:00,2008.0,./forecast_data/aal042008.dat,./forecast_data_parquet/aal042008.parquet
al,4,Claudette,16/08/2009 00:00,17/08/2009 18:00,2009.0,./forecast_data/aal042009.dat,./forecast_data_parquet/aal042009.parquet
al,4,Colin,01/08/2010 06:00,08/08/2010 18:00,2010.0,./forecast_data/aal042010.dat,./forecast_data_parquet/aal042010.parquet
al,4,Don,22/07/2011 06:00,30/07/2011 06:00,2011.0,./forecast_data/aal042011.dat,./forecast_data_parquet/aal042011.parquet
al,4,Debby,21/06/2012 18:00,30/06/2012 00:00,2012.0,./forecast_data/aal042012.dat,./forecast_data_parquet/aal042012.parquet
al,4,Dorian,22/07/2013 12:00,04/08/2013 06:00,2013.0,./forecast_data/aal042013.dat,./forecast_data_parquet/aal042013.parquet
al,4,Disturbance,24/08/2014 06:00,29/08/2014 12:00,2014.0,./forecast_data/aal042014.dat,./forecast_data_parquet/aal042014.parquet
al,4,Danny,16/08/2015 00:00,25/08/2015 00:00,2015.0,./forecast_data/aal042015.dat,./forecast_data_parquet/aal042015.parquet
al,4,Danielle,18/06/2016 12:00,21/06/2016 06:00,2016.0,./forecast_data/aal042016.dat,./forecast_data_parquet/aal042016.parquet
al,4,Invest,03/07/2017 00:00,12/07/2017 06:00,2017.0,./forecast_data/aal042017.dat,./forecast_data_parquet/aal042017.parquet
al,4,Debby,04/08/2018 00:00,09/08/2018 18:00,2018.0,./forecast_data/aal042018.dat,./forecast_data_parquet/aal042018.parquet
al,4,Chantal,17/08/2019 18:00,24/08/2019 00:00,2019.0,./forecast_data/aal042019.dat,./forecast_data_parquet/aal042019.parquet
al,4,Dolly,21/06/2020 12:00,24/06/2020 18:00,2020.0,./forecast_data/aal042020.dat,./forecast_data_parquet/aal042020.parquet
al,4,Danny,27/06/2021 12:00,29/06/2021 12:00,2021.0,./forecast_data/aal042021.dat,./forecast_data_parquet/aal042021.parquet
al,4,Invest,18/08/2022 18:00,21/08/2022 06:00,2022.0,./forecast_data/aal042022.dat,./forecast_data_parquet/aal042022.parquet
al,4,Cindy,19/06/2023 12:00,28/06/2023 00:00,2023.0,./forecast_data/aal042023.dat,./forecast_data_parquet/aal042023.parquet
al,4,Debby,2024-08-01 12:00:00,2024-08-10 06:00:00,2024.0,./forecast_data/aal042024.dat,./forecast_data_parquet/aal042024.parquet
al,5,Emily,09/07/2005 12:00,21/07/2005 18:00,2005.0,./forecast_data/aal052005.dat,./forecast_data_parquet/aal052005.parquet
al,5,Ernesto,18/07/2006 12:00,01/09/2006 18:00,2006.0,./forecast_data/aal052006.dat,./forecast_data_parquet/aal052006.parquet
al,5,Erin,13/08/2007 12:00,17/08/2007 06:00,2007.0,./forecast_data/aal052007.dat,./forecast_data_parquet/aal052007.parquet
al,5,Edouard,11/06/2008 12:00,05/08/2008 18:00,2008.0,./forecast_data/aal052008.dat,./forecast_data_parquet/aal052008.parquet
al,5,Danny,24/08/2009 12:00,29/08/2009 12:00,2009.0,./forecast_data/aal052009.dat,./forecast_data_parquet/aal052009.parquet
al,5,Invest,08/08/2010 12:00,17/08/2010 06:00,2010.0,./forecast_data/aal052010.dat,./forecast_data_parquet/aal052010.parquet
al,5,Emily,29/07/2011 00:00,10/08/2011 06:00,2011.0,./forecast_data/aal052011.dat,./forecast_data_parquet/aal052011.parquet
al,5,Ernesto,30/07/2012 06:00,10/08/2012 18:00,2012.0,./forecast_data/aal052012.dat,./forecast_data_parquet/aal052012.parquet
al,5,Erin,13/08/2013 18:00,18/08/2013 18:00,2013.0,./forecast_data/aal052013.dat,./forecast_data_parquet/aal052013.parquet
al,5,Disturbance,02/09/2014 00:00,03/09/2014 12:00,2014.0,./forecast_data/aal052014.dat,./forecast_data_parquet/aal052014.parquet
al,5,Erika,23/08/2015 00:00,30/08/2015 12:00,2015.0,./forecast_data/aal052015.dat,./forecast_data_parquet/aal052015.parquet
al,5,Earl,28/07/2016 18:00,06/08/2016 12:00,2016.0,./forecast_data/aal052016.dat,./forecast_data_parquet/aal052016.parquet
al,5,Don,16/07/2017 06:00,19/07/2017 12:00,2017.0,./forecast_data/aal052017.dat,./forecast_data_parquet/aal052017.parquet
al,5,Ernesto,12/08/2018 12:00,18/08/2018 06:00,2018.0,./forecast_data/aal052018.dat,./forecast_data_parquet/aal052018.parquet
al,5,Dorian,23/08/2019 06:00,09/09/2019 00:00,2019.0,./forecast_data/aal052019.dat,./forecast_data_parquet/aal052019.parquet
al,5,Edouard,04/07/2020 00:00,07/07/2020 06:00,2020.0,./forecast_data/aal052020.dat,./forecast_data_parquet/aal052020.parquet
al,5,Elsa,29/06/2021 12:00,10/07/2021 00:00,2021.0,./forecast_data/aal052021.dat,./forecast_data_parquet/aal052021.parquet
al,5,Danielle,31/08/2022 12:00,08/09/2022 18:00,2022.0,./forecast_data/aal052022.dat,./forecast_data_parquet/aal052022.parquet
al,5,Don,11/07/2023 12:00,24/07/2023 18:00,2023.0,./forecast_data/aal052023.dat,./forecast_data_parquet/aal052023.parquet
al,5,Ernesto,2024-08-10 00:00:00,2024-08-20 18:00:00,2024.0,./forecast_data/aal052024.dat,./forecast_data_parquet/aal052024.parquet
al,6,Franklin,20/07/2005 12:00,30/07/2005 06:00,2005.0,./forecast_data/aal062005.dat,./forecast_data_parquet/aal062005.parquet
al,6,Florence,03/09/2006 00:00,12/09/2006 18:00,2006.0,./forecast_data/aal062006.dat,./forecast_data_parquet/aal062006.parquet
al,6,Felix,28/08/2007 12:00,05/09/2007 06:00,2007.0,./forecast_data/aal062007.dat,./forecast_data_parquet/aal062007.parquet
al,6,Disturbance,17/08/2008 00:00,24/08/2008 00:00,2008.0,./forecast_data/aal062008.dat,./forecast_data_parquet/aal062008.parquet
al,6,Erika,27/08/2009 12:00,04/09/2009 12:00,2009.0,./forecast_data/aal062009.dat,./forecast_data_parquet/aal062009.parquet
al,6,Danielle,20/08/2010 06:00,31/08/2010 00:00,2010.0,./forecast_data/aal062010.dat,./forecast_data_parquet/aal062010.parquet
al,6,Franklin,12/08/2011 12:00,14/08/2011 00:00,2011.0,./forecast_data/aal062011.dat,./forecast_data_parquet/aal062011.parquet
al,6,Florence,03/08/2012 12:00,08/08/2012 12:00,2012.0,./forecast_data/aal062012.dat,./forecast_data_parquet/aal062012.parquet
al,6,Fernand,24/08/2013 12:00,26/08/2013 18:00,2013.0,./forecast_data/aal062013.dat,./forecast_data_parquet/aal062013.parquet
al,6,Disturbance,11/09/2014 18:00,19/09/2014 18:00,2014.0,./forecast_data/aal062014.dat,./forecast_data_parquet/aal062014.parquet
al,6,Fred,29/08/2015 00:00,07/09/2015 06:00,2015.0,./forecast_data/aal062015.dat,./forecast_data_parquet/aal062015.parquet
al,6,Fiona,15/08/2016 00:00,23/08/2016 18:00,2016.0,./forecast_data/aal062016.dat,./forecast_data_parquet/aal062016.parquet
al,6,Emily,30/07/2017 12:00,02/08/2017 06:00,2017.0,./forecast_data/aal062017.dat,./forecast_data_parquet/aal062017.parquet
al,6,Florence,30/08/2018 06:00,18/09/2018 12:00,2018.0,./forecast_data/aal062018.dat,./forecast_data_parquet/aal062018.parquet
al,6,Erin,22/08/2019 18:00,29/08/2019 12:00,2019.0,./forecast_data/aal062019.dat,./forecast_data_parquet/aal062019.parquet
al,6,Fay,05/07/2020 18:00,11/07/2020 12:00,2020.0,./forecast_data/aal062020.dat,./forecast_data_parquet/aal062020.parquet
al,6,Fred,08/08/2021 12:00,20/08/2021 06:00,2021.0,./forecast_data/aal062021.dat,./forecast_data_parquet/aal062021.parquet
al,6,Earl,28/08/2022 00:00,11/09/2022 00:00,2022.0,./forecast_data/aal062022.dat,./forecast_data_parquet/aal062022.parquet
al,6,Gert,17/08/2023 00:00,04/09/2023 18:00,2023.0,./forecast_data/aal062023.dat,./forecast_data_parquet/aal062023.parquet
al,6,Francine,2024-09-07 12:00:00,2024-09-14 06:00:00,2024.0,./forecast_data/aal062024.dat,./forecast_data_parquet/aal062024.parquet
al,7,Gert,22/07/2005 12:00,25/07/2005 18:00,2005.0,./forecast_data/aal072005.dat,./forecast_data_parquet/aal072005.parquet
al,7,Gordon,09/09/2006 00:00,20/09/2006 18:00,2006.0,./forecast_data/aal072006.dat,./forecast_data_parquet/aal072006.parquet
al,7,Gabrielle,03/09/2007 18:00,11/09/2007 18:00,2007.0,./forecast_data/aal072007.dat,./forecast_data_parquet/aal072007.parquet
al,7,Disturbance,25/08/2008 12:00,02/09/2008 12:00,2008.0,./forecast_data/aal072008.dat,./forecast_data_parquet/aal072008.parquet
al,7,Fred,06/09/2009 18:00,20/09/2009 18:00,2009.0,./forecast_data/aal072009.dat,./forecast_data_parquet/aal072009.parquet
al,7,Earl,23/08/2010 12:00,05/09/2010 00:00,2010.0,./forecast_data/aal072010.dat,./forecast_data_parquet/aal072010.parquet
al,7,Gert,12/08/2011 06:00,16/08/2011 18:00,2011.0,./forecast_data/aal072011.dat,./forecast_data_parquet/aal072011.parquet
al,7,Helene,07/08/2012 00:00,19/08/2012 00:00,2012.0,./forecast_data/aal072012.dat,./forecast_data_parquet/aal072012.parquet
al,7,Gabrielle,31/08/2013 12:00,13/09/2013 18:00,2013.0,./forecast_data/aal072013.dat,./forecast_data_parquet/aal072013.parquet
al,7,Disturbance,10/10/2014 18:00,13/10/2014 18:00,2014.0,./forecast_data/aal072014.dat,./forecast_data_parquet/aal072014.parquet
al,7,Grace,03/09/2015 18:00,09/09/2015 18:00,2015.0,./forecast_data/aal072015.dat,./forecast_data_parquet/aal072015.parquet
al,7,Gaston,21/08/2016 00:00,03/09/2016 06:00,2016.0,./forecast_data/aal072016.dat,./forecast_data_parquet/aal072016.parquet
al,7,Franklin,03/08/2017 12:00,10/08/2017 12:00,2017.0,./forecast_data/aal072017.dat,./forecast_data_parquet/aal072017.parquet
al,7,Gordon,02/09/2018 12:00,08/09/2018 00:00,2018.0,./forecast_data/aal072018.dat,./forecast_data_parquet/aal072018.parquet
al,7,Fernand,02/09/2019 12:00,05/09/2019 00:00,2019.0,./forecast_data/aal072019.dat,./forecast_data_parquet/aal072019.parquet
al,7,Gonzalo,20/07/2020 12:00,26/07/2020 00:00,2020.0,./forecast_data/aal072020.dat,./forecast_data_parquet/aal072020.parquet
al,7,Grace,10/08/2021 18:00,22/08/2021 00:00,2021.0,./forecast_data/aal072021.dat,./forecast_data_parquet/aal072021.parquet
al,7,Fiona,13/09/2022 12:00,25/09/2022 00:00,2022.0,./forecast_data/aal072022.dat,./forecast_data_parquet/aal072022.parquet
al,7,Emily,17/08/2023 00:00,26/08/2023 00:00,2023.0,./forecast_data/aal072023.dat,./forecast_data_parquet/aal072023.parquet
al,7,Gordon,2024-09-10 18:00:00,2024-09-21 18:00:00,2024.0,./forecast_data/aal072024.dat,./forecast_data_parquet/aal072024.parquet
al,8,Harvey,26/07/2005 12:00,09/08/2005 00:00,2005.0,./forecast_data/aal082005.dat,./forecast_data_parquet/aal082005.parquet
al,8,Helene,15/08/2006 00:00,24/09/2006 12:00,2006.0,./forecast_data/aal082006.dat,./forecast_data_parquet/aal082006.parquet
al,8,Ingrid,09/09/2007 12:00,17/09/2007 12:00,2007.0,./forecast_data/aal082007.dat,./forecast_data_parquet/aal082007.parquet
al,8,Disturbance,28/08/2008 12:00,07/09/2008 12:00,2008.0,./forecast_data/aal082008.dat,./forecast_data_parquet/aal082008.parquet
al,8,Invest,25/09/2009 06:00,27/09/2009 00:00,2009.0,./forecast_data/aal082009.dat,./forecast_data_parquet/aal082009.parquet
al,8,Fiona,26/08/2010 12:00,04/09/2010 00:00,2010.0,./forecast_data/aal082010.dat,./forecast_data_parquet/aal082010.parquet
al,8,Harvey,10/08/2011 18:00,22/08/2011 12:00,2011.0,./forecast_data/aal082011.dat,./forecast_data_parquet/aal082011.parquet
al,8,Gordon,10/08/2012 00:00,20/08/2012 18:00,2012.0,./forecast_data/aal082012.dat,./forecast_data_parquet/aal082012.parquet
al,8,Invest,05/09/2013 06:00,07/09/2013 06:00,2013.0,./forecast_data/aal082013.dat,./forecast_data_parquet/aal082013.parquet
al,8,Disturbance,12/10/2014 18:00,19/10/2014 00:00,2014.0,./forecast_data/aal082014.dat,./forecast_data_parquet/aal082014.parquet
al,8,Henri,07/09/2015 18:00,11/09/2015 18:00,2015.0,./forecast_data/aal082015.dat,./forecast_data_parquet/aal082015.parquet
al,8,Invest,26/08/2016 18:00,01/09/2016 12:00,2016.0,./forecast_data/aal082016.dat,./forecast_data_parquet/aal082016.parquet
al,8,Gert,03/08/2017 06:00,18/08/2017 00:00,2017.0,./forecast_data/aal082017.dat,./forecast_data_parquet/aal082017.parquet
al,8,Helene,06/09/2018 18:00,16/09/2018 12:00,2018.0,./forecast_data/aal082018.dat,./forecast_data_parquet/aal082018.parquet
al,8,Gabrielle,01/09/2019 12:00,10/09/2019 18:00,2019.0,./forecast_data/aal082019.dat,./forecast_data_parquet/aal082019.parquet
al,8,Hanna,21/07/2020 18:00,27/07/2020 06:00,2020.0,./forecast_data/aal082020.dat,./forecast_data_parquet/aal082020.parquet
al,8,Henri,15/08/2021 00:00,24/08/2021 12:00,2021.0,./forecast_data/aal082021.dat,./forecast_data_parquet/aal082021.parquet
al,8,Gaston,19/09/2022 00:00,26/09/2022 06:00,2022.0,./forecast_data/aal082022.dat,./forecast_data_parquet/aal082022.parquet
al,8,Franklin,19/08/2023 06:00,02/09/2023 00:00,2023.0,./forecast_data/aal082023.dat,./forecast_data_parquet/aal082023.parquet
al,8,Invest,2024-09-15 00:00:00,2024-09-17 00:00:00,2024.0,./forecast_data/aal082024.dat,./forecast_data_parquet/aal082024.parquet
al,9,Irene,04/08/2005 00:00,18/08/2005 18:00,2005.0,./forecast_data/aal092005.dat,./forecast_data_parquet/aal092005.parquet
al,9,Isaac,21/08/2006 12:00,02/10/2006 18:00,2006.0,./forecast_data/aal092006.dat,./forecast_data_parquet/aal092006.parquet
al,9,Humberto,09/09/2007 00:00,14/09/2007 00:00,2007.0,./forecast_data/aal092007.dat,./forecast_data_parquet/aal092007.parquet
al,9,Disturbance,01/09/2008 12:00,14/09/2008 12:00,2008.0,./forecast_data/aal092008.dat,./forecast_data_parquet/aal092008.parquet
al,9,Grace,01/10/2009 12:00,06/10/2009 00:00,2009.0,./forecast_data/aal092009.dat,./forecast_data_parquet/aal092009.parquet
al,9,Gaston,31/08/2010 00:00,08/09/2010 06:00,2010.0,./forecast_data/aal092010.dat,./forecast_data_parquet/aal092010.parquet
al,9,Irene,18/08/2011 12:00,29/08/2011 00:00,2011.0,./forecast_data/aal092011.dat,./forecast_data_parquet/aal092011.parquet
al,9,Isaac,17/08/2012 00:00,30/08/2012 18:00,2012.0,./forecast_data/aal092012.dat,./forecast_data_parquet/aal092012.parquet
al,9,Humberto,07/09/2013 12:00,19/09/2013 18:00,2013.0,./forecast_data/aal092013.dat,./forecast_data_parquet/aal092013.parquet
al,9,Disturbance,22/10/2014 06:00,28/10/2014 00:00,2014.0,./forecast_data/aal092014.dat,./forecast_data_parquet/aal092014.parquet
al,9,Invest,13/09/2015 12:00,20/09/2015 00:00,2015.0,./forecast_data/aal092015.dat,./forecast_data_parquet/aal092015.parquet
al,9,Hermine,18/08/2016 18:00,06/09/2016 12:00,2016.0,./forecast_data/aal092016.dat,./forecast_data_parquet/aal092016.parquet
